#SampleID	d__Bacteria;p__Firmicutes	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Planctomycetota	d__Bacteria;p__Armatimonadota	d__Bacteria;p__Gemmatimonadota	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Myxococcota	d__Bacteria;p__Bdellovibrionota	d__Bacteria;p__Chloroflexi	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Patescibacteria	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__Spirochaetota	d__Bacteria;p__WS4	d__Bacteria;p__Cyanobacteria	d__Bacteria;p__Fibrobacterota	d__Bacteria;p__Hydrogenedentes	d__Bacteria;p__Methylomirabilota	d__Bacteria;p__Elusimicrobiota	d__Bacteria;p__Latescibacterota	d__Bacteria;p__Nitrospirota	d__Bacteria;p__FCPU426	d__Bacteria;p__SAR324_clade(Marine_group_B)	d__Bacteria;p__Abditibacteriota	d__Bacteria;p__Sumerlaeota	d__Bacteria;p__Zixibacteria	d__Bacteria;p__Margulisbacteria	d__Bacteria;p__Entotheonellaeota	d__Bacteria;p__Cloacimonadota	d__Bacteria;p__Deferrisomatota	d__Bacteria;p__LCP-89	d__Bacteria;p__WPS-2	d__Bacteria;p__Campylobacterota	d__Bacteria;p__MBNT15	d__Bacteria;p__GAL15	d__Bacteria;p__WOR-1	d__Bacteria;p__WS2	d__Bacteria;p__Deinococcota	d__Bacteria;p__NB1-j	d__Bacteria;p__Dependentiae	d__Bacteria;p__CK-2C2-2	d__Bacteria;p__TX1A-33	d__Bacteria;p__WS1	d__Bacteria;p__Modulibacteria	d__Bacteria;p__DTB120	d__Bacteria;p__Sva0485
SRR9612435	92.0	749.0	1448.0	71.0	2276.0	5452.0	3235.0	930.0	12.0	1354.0	224.0	563.0	14.0	230.0	3.0	11.0	21.0	34.0	24.0	269.0	27.0	88.0	109.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612436	73.0	1007.0	1582.0	99.0	2432.0	5507.0	2731.0	807.0	20.0	1493.0	291.0	514.0	10.0	73.0	3.0	11.0	154.0	32.0	16.0	288.0	9.0	112.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612440	614.0	868.0	0.0	2.0	4.0	190.0	2951.0	7461.0	51.0	443.0	261.0	40.0	0.0	17.0	29.0	0.0	15.0	86.0	0.0	0.0	0.0	2.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612442	153.0	1579.0	1010.0	89.0	2392.0	2123.0	2563.0	476.0	0.0	1013.0	232.0	257.0	10.0	61.0	17.0	21.0	10.0	0.0	20.0	87.0	6.0	53.0	55.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612444	556.0	940.0	7.0	5.0	0.0	181.0	1569.0	6491.0	45.0	401.0	161.0	75.0	0.0	23.0	0.0	0.0	14.0	37.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612445	87.0	2097.0	2666.0	310.0	4920.0	9720.0	7354.0	1943.0	107.0	3031.0	924.0	898.0	60.0	258.0	9.0	0.0	3.0	53.0	60.0	565.0	51.0	346.0	113.0	0.0	0.0	0.0	22.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	25.0	7.0	0.0	0.0	18.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612448	96.0	1994.0	4125.0	274.0	5025.0	11424.0	4451.0	1883.0	71.0	3278.0	452.0	1097.0	28.0	203.0	0.0	23.0	31.0	46.0	31.0	950.0	10.0	348.0	80.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	12.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612449	0.0	414.0	16.0	2.0	29.0	81.0	5673.0	678.0	8.0	3494.0	958.0	255.0	0.0	0.0	0.0	0.0	5.0	1313.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612450	44.0	1527.0	27.0	6.0	29.0	149.0	14205.0	596.0	4.0	1519.0	759.0	130.0	0.0	9.0	0.0	0.0	80.0	273.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612451	41.0	1470.0	1321.0	134.0	2978.0	3149.0	4257.0	750.0	70.0	1284.0	387.0	492.0	23.0	25.0	0.0	5.0	41.0	63.0	6.0	286.0	0.0	105.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612452	58.0	1731.0	1773.0	204.0	3544.0	2975.0	2434.0	650.0	16.0	1447.0	380.0	445.0	3.0	28.0	0.0	0.0	3.0	59.0	8.0	238.0	12.0	106.0	24.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
