#SampleID	StudyID	StudyName	Treatment	Host	HostSpecific	RootCompartment	Inoculum	Primers
SRR5225126	naylor2017drought	Naylor et al. (2017)	Control	PACMAD clade	Sorghastrum nutans	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5225127	naylor2017drought	Naylor et al. (2017)	Control	PACMAD clade	Sorghastrum nutans	Endosphere	Not available for this type of experiment	341F,785R
SRR5225128	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5225129	naylor2017drought	Naylor et al. (2017)	Drought	PACMAD clade	Sorghastrum nutans	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5225140	naylor2017drought	Naylor et al. (2017)	Drought	PACMAD clade	Sorghastrum nutans	Endosphere	Not available for this type of experiment	341F,785R
SRR5225141	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5225142	naylor2017drought	Naylor et al. (2017)	Control	PACMAD clade	Miscanthus sinensis	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5225147	naylor2017drought	Naylor et al. (2017)	Control	PACMAD clade	Miscanthus sinensis	Endosphere	Not available for this type of experiment	341F,785R
SRR5225154	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5225155	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Brachypodium distachyon	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5225156	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Brachypodium distachyon	Endosphere	Not available for this type of experiment	341F,785R
SRR5225157	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5225158	naylor2017drought	Naylor et al. (2017)	Drought	BOP clade	Brachypodium distachyon	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5225159	naylor2017drought	Naylor et al. (2017)	Drought	BOP clade	Brachypodium distachyon	Endosphere	Not available for this type of experiment	341F,785R
SRR5225160	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5225168	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5225169	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	341F,785R
SRR5225170	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5225171	naylor2017drought	Naylor et al. (2017)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5225172	naylor2017drought	Naylor et al. (2017)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	341F,785R
SRR5225173	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5225174	naylor2017drought	Naylor et al. (2017)	Control	PACMAD clade	Eragrostis tef	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5225175	naylor2017drought	Naylor et al. (2017)	Control	PACMAD clade	Eragrostis tef	Endosphere	Not available for this type of experiment	341F,785R
SRR5225176	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5225177	naylor2017drought	Naylor et al. (2017)	Drought	PACMAD clade	Eragrostis tef	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5225178	naylor2017drought	Naylor et al. (2017)	Drought	PACMAD clade	Eragrostis tef	Endosphere	Not available for this type of experiment	341F,785R
SRR5225179	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5225180	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Triticum turgidum	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5225182	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5225183	naylor2017drought	Naylor et al. (2017)	Drought	BOP clade	Triticum turgidum	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5225185	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5225186	naylor2017drought	Naylor et al. (2017)	Control	PACMAD clade	Cenchrus americanus	Rhizosphere	Not available for this type of experiment	341F,785R
