#SampleID	d__Bacteria;p__Elusimicrobiota	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Myxococcota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Chloroflexi	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Firmicutes	d__Bacteria;p__Nitrospirota	d__Bacteria;p__Patescibacteria	d__Bacteria;p__Bdellovibrionota	d__Bacteria;p__Gemmatimonadota	d__Bacteria;p__Fibrobacterota	d__Bacteria;p__Dependentiae	d__Bacteria;p__Armatimonadota	d__Bacteria;p__Planctomycetota	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__Cyanobacteria	d__Bacteria;p__WPS-2	d__Bacteria;p__Spirochaetota	d__Bacteria;p__Entotheonellaeota	d__Bacteria;p__SAR324_clade(Marine_group_B)	d__Bacteria;p__Deinococcota	d__Bacteria;p__Abditibacteriota	d__Bacteria;p__RCP2-54	d__Bacteria;p__Sumerlaeota	d__Bacteria;p__Methylomirabilota	d__Bacteria;p__Latescibacterota
SRR5459524	0.0	5805.0	3149.0	264.0	173.0	891.0	560.0	16.0	3754.0	0.0	0.0	0.0	79.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5459525	0.0	3791.0	4669.0	203.0	249.0	488.0	373.0	1708.0	312.0	0.0	404.0	0.0	119.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5459526	0.0	3503.0	3874.0	220.0	50.0	367.0	0.0	1924.0	300.0	0.0	290.0	0.0	18.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5459529	20.0	1596.0	5243.0	862.0	252.0	579.0	1447.0	1777.0	474.0	97.0	58.0	0.0	639.0	133.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	117.0	0.0
SRR5459530	0.0	1039.0	5342.0	1168.0	178.0	91.0	191.0	2674.0	0.0	0.0	384.0	141.0	37.0	343.0	0.0	0.0	0.0	0.0	77.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5459532	0.0	2435.0	7543.0	759.0	108.0	500.0	1956.0	4052.0	706.0	11.0	0.0	0.0	461.0	26.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5459533	0.0	1736.0	4685.0	817.0	47.0	36.0	87.0	2562.0	34.0	0.0	114.0	0.0	0.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5459534	0.0	5156.0	1690.0	489.0	0.0	516.0	200.0	120.0	2091.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5459537	0.0	3922.0	3884.0	361.0	45.0	400.0	328.0	494.0	1760.0	0.0	101.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	65.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5459538	0.0	2372.0	4663.0	242.0	31.0	790.0	1036.0	779.0	532.0	57.0	390.0	0.0	252.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5459540	0.0	3168.0	5965.0	831.0	472.0	41.0	370.0	3042.0	0.0	0.0	774.0	0.0	0.0	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5459545	0.0	4178.0	3490.0	364.0	0.0	524.0	159.0	666.0	1018.0	0.0	10.0	19.0	55.0	0.0	0.0	0.0	0.0	0.0	777.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0
SRR5459546	14.0	1935.0	5614.0	306.0	261.0	177.0	1258.0	1916.0	508.0	68.0	63.0	0.0	378.0	36.0	0.0	29.0	0.0	29.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.0	0.0
SRR5459548	0.0	2621.0	5415.0	645.0	191.0	206.0	329.0	2488.0	0.0	30.0	95.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5459550	0.0	3143.0	5624.0	492.0	164.0	264.0	1413.0	2098.0	288.0	23.0	158.0	0.0	245.0	52.0	0.0	28.0	31.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0
SRR5459554	0.0	1084.0	4838.0	282.0	367.0	326.0	1315.0	1717.0	485.0	102.0	0.0	0.0	181.0	34.0	0.0	0.0	0.0	0.0	354.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5459569	0.0	2297.0	4669.0	743.0	86.0	184.0	471.0	2054.0	110.0	27.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5459571	0.0	3791.0	6354.0	593.0	372.0	770.0	1295.0	1696.0	434.0	72.0	0.0	0.0	226.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	114.0	9.0
SRR5459574	0.0	1565.0	3999.0	1097.0	215.0	644.0	674.0	1092.0	541.0	54.0	125.0	0.0	538.0	0.0	0.0	0.0	0.0	0.0	2223.0	0.0	0.0	0.0	0.0	52.0	0.0	0.0	0.0	0.0	0.0
SRR5459575	0.0	623.0	5602.0	787.0	367.0	352.0	1643.0	1481.0	479.0	63.0	210.0	15.0	574.0	224.0	44.0	29.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	120.0	0.0
SRR5459577	17.0	1611.0	7224.0	2073.0	697.0	498.0	235.0	4160.0	0.0	0.0	556.0	116.0	133.0	438.0	0.0	29.0	0.0	110.0	0.0	0.0	113.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5459579	0.0	1965.0	5062.0	1100.0	299.0	458.0	1899.0	2175.0	507.0	87.0	17.0	0.0	165.0	40.0	0.0	0.0	11.0	57.0	23.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	130.0	0.0
SRR5459582	0.0	3434.0	4865.0	1217.0	301.0	531.0	615.0	2077.0	1066.0	0.0	46.0	17.0	171.0	37.0	0.0	0.0	19.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5459585	0.0	2941.0	4220.0	614.0	216.0	443.0	677.0	447.0	753.0	0.0	59.0	0.0	138.0	0.0	0.0	0.0	0.0	0.0	2131.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0
SRR5459586	0.0	1918.0	7305.0	497.0	410.0	591.0	2047.0	2055.0	879.0	95.0	115.0	0.0	540.0	40.0	0.0	22.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	143.0	0.0
SRR5459588	0.0	2075.0	6711.0	1728.0	421.0	329.0	633.0	4061.0	42.0	28.0	95.0	16.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	283.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5459590	0.0	3485.0	7213.0	871.0	289.0	656.0	1726.0	3052.0	713.0	0.0	20.0	0.0	508.0	22.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0
SRR5459592	0.0	4267.0	3460.0	566.0	0.0	53.0	405.0	2026.0	162.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
