#SampleID	StudyID	StudyName	Treatment	Host	HostSpecific	RootCompartment	Inoculum	Primers
SRR21723087	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723088	azarbad2022response	Azarbad et al. (2022)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723089	azarbad2022response	Azarbad et al. (2022)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723090	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723091	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723099	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723117	azarbad2022response	Azarbad et al. (2022)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723124	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723126	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum turgidum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723127	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723128	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum turgidum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723129	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum turgidum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723130	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723131	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723132	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723133	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723134	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723135	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723136	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum turgidum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723137	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum turgidum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723138	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723139	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723140	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723141	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723142	azarbad2022response	Azarbad et al. (2022)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723143	azarbad2022response	Azarbad et al. (2022)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723147	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723148	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum turgidum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723149	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723150	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum turgidum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723151	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum turgidum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723152	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum turgidum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723153	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723154	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723157	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum turgidum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723168	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723171	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum turgidum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723172	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723173	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum turgidum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723174	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723176	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723177	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723178	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723180	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723181	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723182	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum turgidum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723183	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum turgidum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723184	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723185	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723186	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum turgidum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723187	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723188	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723189	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723193	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723194	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723196	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723197	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723199	azarbad2022response	Azarbad et al. (2022)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723200	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723201	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
