#SampleID	d__Bacteria;p__Myxococcota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Nitrospirota	d__Bacteria;p__Bdellovibrionota	d__Bacteria;p__Armatimonadota	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Planctomycetota	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Gemmatimonadota	d__Bacteria;p__Chloroflexi	d__Bacteria;p__Firmicutes	d__Bacteria;p__Patescibacteria	d__Bacteria;p__Hydrogenedentes	d__Bacteria;p__Cyanobacteria	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__Methylomirabilota	d__Bacteria;p__Dependentiae	d__Bacteria;p__Sumerlaeota	d__Bacteria;p__Cloacimonadota	d__Bacteria;p__Abditibacteriota	d__Bacteria;p__Spirochaetota	d__Bacteria;p__Synergistota	d__Bacteria;p__Elusimicrobiota	d__Bacteria;p__Latescibacterota	d__Bacteria;p__RCP2-54	d__Bacteria;p__Thermotogota	d__Bacteria;p__Fibrobacterota	d__Bacteria;p__Dadabacteria	d__Bacteria;p__Deinococcota	d__Bacteria;p__SAR324_clade(Marine_group_B)	d__Bacteria;p__WPS-2	d__Bacteria;p__FCPU426	d__Bacteria;p__Caldisericota	d__Bacteria;p__GAL15	d__Bacteria;p__MBNT15	d__Bacteria;p__NB1-j	d__Bacteria;p__WS2	d__Bacteria;p__Fusobacteriota	d__Bacteria;p__Entotheonellaeota	d__Bacteria;p__Caldatribacteriota	d__Bacteria;p__WS1	d__Bacteria;p__Coprothermobacterota	d__Bacteria;p__TX1A-33
SRR19309773	79.0	251.0	4463.0	956.0	6.0	0.0	62.0	1866.0	551.0	473.0	406.0	865.0	2305.0	3.0	0.0	237.0	5.0	21.0	0.0	0.0	30.0	0.0	7.0	11.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	3.0	11.0	0.0
SRR19309774	112.0	602.0	7141.0	2063.0	0.0	35.0	34.0	2266.0	1041.0	311.0	386.0	753.0	2140.0	0.0	0.0	582.0	7.0	0.0	0.0	16.0	8.0	3.0	0.0	24.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	5.0	0.0
SRR19309775	44.0	580.0	4699.0	2486.0	0.0	0.0	145.0	1975.0	727.0	197.0	156.0	447.0	1816.0	0.0	0.0	370.0	17.0	8.0	0.0	4.0	8.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
SRR19309776	55.0	753.0	9887.0	1983.0	0.0	48.0	118.0	3739.0	1341.0	413.0	396.0	439.0	3692.0	4.0	0.0	564.0	7.0	0.0	0.0	11.0	40.0	0.0	13.0	143.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	7.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	10.0	14.0	0.0
SRR19309777	76.0	565.0	6517.0	1533.0	0.0	0.0	166.0	2050.0	940.0	435.0	450.0	563.0	2962.0	19.0	0.0	473.0	21.0	0.0	3.0	8.0	30.0	10.0	0.0	54.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	26.0	0.0
SRR19309779	446.0	5742.0	23598.0	4126.0	15.0	237.0	605.0	4280.0	7648.0	7872.0	299.0	6843.0	710.0	202.0	0.0	498.0	202.0	22.0	106.0	7.0	80.0	33.0	0.0	79.0	53.0	0.0	67.0	8.0	39.0	0.0	0.0	0.0	280.0	30.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	21.0	0.0
SRR19309780	354.0	6077.0	19402.0	3211.0	0.0	251.0	649.0	2501.0	6716.0	6340.0	162.0	7533.0	555.0	140.0	13.0	247.0	181.0	54.0	162.0	12.0	166.0	57.0	37.0	155.0	19.0	22.0	28.0	0.0	20.0	8.0	0.0	0.0	379.0	68.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	48.0	0.0
SRR19309781	177.0	3513.0	19049.0	2750.0	0.0	101.0	265.0	2090.0	4017.0	3239.0	111.0	4695.0	1252.0	76.0	0.0	221.0	82.0	16.0	344.0	0.0	138.0	13.0	33.0	184.0	2.0	9.0	36.0	7.0	16.0	0.0	0.0	0.0	114.0	15.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	20.0	0.0	49.0	0.0
SRR19309782	284.0	4688.0	14688.0	4196.0	7.0	188.0	303.0	1557.0	4754.0	4376.0	101.0	3523.0	470.0	154.0	16.0	348.0	114.0	10.0	54.0	0.0	45.0	17.0	19.0	112.0	42.0	5.0	20.0	19.0	146.0	0.0	0.0	0.0	174.0	48.0	13.0	2.0	3.0	0.0	0.0	9.0	0.0	26.0	0.0	54.0	0.0
SRR19309783	93.0	1002.0	22187.0	6861.0	0.0	81.0	101.0	7576.0	4645.0	605.0	217.0	1376.0	5736.0	33.0	7.0	827.0	14.0	0.0	0.0	7.0	22.0	0.0	3.0	123.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	47.0	12.0	9.0	0.0
SRR19309784	164.0	4366.0	16857.0	3406.0	3.0	111.0	306.0	2043.0	3769.0	4751.0	74.0	3736.0	550.0	197.0	0.0	289.0	98.0	7.0	114.0	2.0	45.0	13.0	16.0	136.0	30.0	7.0	14.0	0.0	4.0	0.0	0.0	0.0	454.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	30.0	0.0
SRR19309789	117.0	2030.0	4152.0	680.0	0.0	46.0	331.0	1182.0	2781.0	2751.0	139.0	3359.0	45.0	56.0	0.0	33.0	37.0	2.0	19.0	4.0	0.0	2.0	0.0	0.0	15.0	9.0	38.0	0.0	6.0	0.0	0.0	0.0	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR19309790	200.0	1826.0	4036.0	665.0	3.0	29.0	393.0	958.0	2918.0	2836.0	146.0	3639.0	52.0	36.0	0.0	75.0	56.0	10.0	13.0	0.0	0.0	0.0	0.0	0.0	19.0	5.0	30.0	0.0	5.0	0.0	0.0	0.0	92.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR19309791	119.0	1770.0	3528.0	361.0	2.0	48.0	486.0	1126.0	2393.0	2836.0	304.0	2352.0	106.0	34.0	0.0	41.0	31.0	13.0	14.0	10.0	0.0	0.0	0.0	0.0	15.0	4.0	26.0	0.0	6.0	0.0	0.0	2.0	66.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR19309792	133.0	1586.0	3754.0	765.0	0.0	38.0	497.0	973.0	2850.0	2440.0	125.0	2912.0	35.0	40.0	0.0	61.0	54.0	8.0	34.0	6.0	0.0	0.0	0.0	0.0	15.0	8.0	16.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR19309793	182.0	3282.0	5605.0	1624.0	0.0	79.0	370.0	1234.0	4015.0	3798.0	265.0	4078.0	92.0	62.0	0.0	67.0	71.0	7.0	19.0	0.0	11.0	0.0	0.0	0.0	14.0	0.0	17.0	0.0	7.0	0.0	0.0	0.0	108.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	7.0	0.0
SRR19309794	144.0	2141.0	58625.0	22366.0	0.0	350.0	24.0	13073.0	4306.0	1641.0	88.0	710.0	10223.0	45.0	0.0	3046.0	138.0	0.0	9.0	0.0	36.0	67.0	57.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	12.0	3.0	64.0	0.0
SRR19309795	102.0	1345.0	35564.0	14273.0	0.0	204.0	39.0	8969.0	4195.0	1071.0	122.0	737.0	8964.0	46.0	0.0	1915.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	157.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.0	10.0	0.0	0.0
