#SampleID	d__Bacteria;p__Myxococcota;c__Polyangia	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	d__Bacteria;p__Bacteroidota;c__Bacteroidia	d__Bacteria;p__Nitrospirota;c__Nitrospiria	d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia	d__Bacteria;p__Armatimonadota;c__Armatimonadia	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia	d__Bacteria;p__Planctomycetota;c__Planctomycetes	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes	d__Bacteria;p__Planctomycetota;c__Phycisphaerae	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia	d__Bacteria;p__Bacteroidota;c__Kapabacteria	d__Bacteria;p__Chloroflexi;c__Anaerolineae	d__Bacteria;p__Planctomycetota;c__vadinHA49	d__Bacteria;p__Chloroflexi;c__Ktedonobacteria	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	d__Bacteria;p__Chloroflexi;c__JG30-KF-CM66	d__Bacteria;p__Actinobacteriota;c__Actinobacteria	d__Bacteria;p__Chloroflexi;c__Chloroflexia	d__Bacteria;p__Firmicutes;c__Bacilli	d__Bacteria;p__Patescibacteria;c__Saccharimonadia	d__Bacteria;p__Gemmatimonadota;c__BD2-11_terrestrial_group	d__Bacteria;p__Acidobacteriota;c__Blastocatellia	d__Bacteria;p__Patescibacteria;c__Berkelbacteria	d__Bacteria;p__Hydrogenedentes;c__Hydrogenedentia	d__Bacteria;p__Chloroflexi;c__OLB14	d__Bacteria;p__Patescibacteria;c__Parcubacteria	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia	d__Bacteria;p__Chloroflexi;c__AD3	d__Bacteria;p__Desulfobacterota;c__Syntrophia	d__Bacteria;p__Armatimonadota;c__uncultured	d__Bacteria;p__Myxococcota;c__Myxococcia	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria	d__Bacteria;p__Armatimonadota;c__Chthonomonadetes	d__Bacteria;p__Patescibacteria;c__Gracilibacteria	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia	d__Bacteria;p__Planctomycetota;c__Pla4_lineage	d__Bacteria;p__Dependentiae;c__Babeliae	d__Bacteria;p__Firmicutes;c__Desulfotomaculia	d__Bacteria;p__Chloroflexi;c__TK10	d__Bacteria;p__Firmicutes;c__Syntrophomonadia	d__Bacteria;p__Bdellovibrionota;c__Oligoflexia	d__Bacteria;p__Firmicutes;c__Clostridia	d__Bacteria;p__Planctomycetota;c__BD7-11	d__Bacteria;p__Sumerlaeota;c__Sumerlaeia	d__Bacteria;p__Chloroflexi;c__Gitt-GS-136	d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae	d__Bacteria;p__Cyanobacteria;c__Sericytochromatia	d__Bacteria;p__Planctomycetota;c__Pla3_lineage	d__Bacteria;p__Firmicutes;c__Incertae_Sedis	d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia	d__Bacteria;p__Cloacimonadota;c__Cloacimonadia	d__Bacteria;p__Firmicutes;c__Negativicutes	d__Bacteria;p__Acidobacteriota;c__Holophagae	d__Bacteria;p__Acidobacteriota;c__Subgroup_5	d__Bacteria;p__Bacteroidota;c__Kryptonia	d__Bacteria;p__Actinobacteriota;c__MB-A2-108	d__Bacteria;p__Abditibacteriota;c__Abditibacteria	d__Bacteria;p__Chloroflexi;c__KD4-96	d__Bacteria;p__Spirochaetota;c__Spirochaetia	d__Bacteria;p__Gemmatimonadota;c__Longimicrobia	d__Bacteria;p__Firmicutes;c__Limnochordia	d__Bacteria;p__Synergistota;c__Synergistia	d__Bacteria;p__Elusimicrobiota;c__Lineage_IIa	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia	d__Bacteria;p__Patescibacteria;c__ABY1	d__Bacteria;p__Latescibacterota;c__Latescibacterota	d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria	d__Bacteria;p__RCP2-54;c__RCP2-54	d__Bacteria;p__Thermotogota;c__Thermotogae	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia	d__Bacteria;p__Firmicutes;c__D8A-2	d__Bacteria;p__Firmicutes;c__Symbiobacteriia	d__Bacteria;p__Fibrobacterota;c__Fibrobacteria	d__Bacteria;p__Elusimicrobiota;c__Lineage_IIb	d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia	d__Bacteria;p__Firmicutes;c__BRH-c20a	d__Bacteria;p__Armatimonadota;c__Fimbriimonadia	d__Bacteria;p__Acidobacteriota;c__Subgroup_18	d__Bacteria;p__Dadabacteria;c__Dadabacteriia	d__Bacteria;p__Acidobacteriota;c__AT-s3-28	d__Bacteria;p__Latescibacterota;c__Latescibacteria	d__Bacteria;p__Spirochaetota;c__Leptospirae	d__Bacteria;p__Deinococcota;c__Deinococci	d__Bacteria;p__Myxococcota;c__bacteriap25	d__Bacteria;p__SAR324_clade(Marine_group_B);c__SAR324_clade(Marine_group_B)	d__Bacteria;p__WPS-2;c__WPS-2	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia	d__Bacteria;p__FCPU426;c__FCPU426	d__Bacteria;p__Caldisericota;c__Caldisericia	d__Bacteria;p__GAL15;c__GAL15	d__Bacteria;p__Acidobacteriota;c__Subgroup_25	d__Bacteria;p__Verrucomicrobiota;c__Omnitrophia	d__Bacteria;p__Firmicutes;c__Thermacetogenia	d__Bacteria;p__MBNT15;c__MBNT15	d__Bacteria;p__Acidobacteriota;c__Subgroup_11	d__Bacteria;p__Acidobacteriota;c__Subgroup_22	d__Bacteria;p__Firmicutes;c__Dethiobacteria	d__Bacteria;p__NB1-j;c__NB1-j	d__Bacteria;p__WS2;c__WS2	d__Bacteria;p__Chloroflexi;c__Dehalococcoidia	d__Bacteria;p__Gemmatimonadota;c__S0134_terrestrial_group	d__Bacteria;p__Firmicutes;c__Desulfitobacteriia	d__Bacteria;p__Acidobacteriota;c__FFCH5909	d__Bacteria;p__Planctomycetota;c__OM190	d__Bacteria;p__Patescibacteria;c__Microgenomatia	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia	d__Bacteria;p__Actinobacteriota;c__WCHB1-81	d__Bacteria;p__Desulfobacterota;c__uncultured	d__Bacteria;p__Patescibacteria;c__uncultured	d__Bacteria;p__Firmicutes;c__Sulfobacillia	d__Bacteria;p__Entotheonellaeota;c__Entotheonellia	d__Bacteria;p__Spirochaetota;c__Brachyspirae	d__Bacteria;p__Caldatribacteriota;c__Caldatribacteriia	d__Bacteria;p__Bacteroidota;c__Ignavibacteria	d__Bacteria;p__Caldatribacteriota;c__JS1	d__Bacteria;p__Nitrospirota;c__4-29-1	d__Bacteria;p__Desulfobacterota;c__Syntrophorhabdia	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria	d__Bacteria;p__Chloroflexi;c__P2-11E	d__Bacteria;p__WS1;c__WS1	d__Bacteria;p__Coprothermobacterota;c__Coprothermobacteria	d__Bacteria;p__Elusimicrobiota;c__Lineage_IIc	d__Bacteria;p__Acidobacteriota;c__Aminicenantia	d__Bacteria;p__TX1A-33;c__TX1A-33	d__Bacteria;p__Firmicutes;c__Thermovenabulia
SRR19309764	18.0	879.0	978.0	386.0	96.0	15.0	2.0	54.0	981.0	387.0	279.0	395.0	320.0	0.0	230.0	0.0	533.0	1607.0	14.0	776.0	273.0	430.0	0.0	3.0	712.0	0.0	3.0	0.0	0.0	0.0	23.0	0.0	234.0	16.0	1737.0	38.0	2.0	214.0	16.0	8.0	0.0	57.0	0.0	15.0	5.0	2.0	2.0	5.0	15.0	14.0	7.0	0.0	9.0	0.0	0.0	18.0	38.0	4.0	15.0	0.0	82.0	5.0	0.0	0.0	0.0	4.0	0.0	0.0	109.0	0.0	5.0	0.0	0.0	0.0	0.0	20.0	2.0	39.0	0.0	2.0	9.0	0.0	5.0	15.0	0.0	0.0	94.0	0.0	7.0	0.0	22.0	0.0	0.0	27.0	0.0	0.0	5.0	7.0	11.0	0.0	0.0	2.0	14.0	0.0	0.0	0.0	10.0	4.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR19309765	53.0	1540.0	777.0	540.0	86.0	5.0	19.0	64.0	1312.0	368.0	393.0	839.0	385.0	3.0	118.0	0.0	608.0	1787.0	15.0	466.0	410.0	285.0	2.0	0.0	943.0	0.0	0.0	6.0	5.0	8.0	12.0	0.0	232.0	22.0	1655.0	77.0	0.0	114.0	0.0	10.0	0.0	102.0	0.0	18.0	4.0	0.0	51.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	17.0	37.0	0.0	4.0	0.0	124.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	8.0	19.0	0.0	5.0	0.0	0.0	0.0	11.0	0.0	0.0	44.0	0.0	0.0	0.0	32.0	0.0	0.0	26.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	6.0	23.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR19309766	46.0	1518.0	3257.0	694.0	133.0	6.0	21.0	24.0	1306.0	477.0	284.0	411.0	442.0	10.0	80.0	0.0	566.0	2281.0	19.0	521.0	240.0	594.0	10.0	0.0	886.0	2.0	0.0	6.0	2.0	0.0	30.0	0.0	275.0	36.0	1278.0	37.0	4.0	92.0	9.0	0.0	0.0	95.0	0.0	37.0	20.0	5.0	3.0	0.0	11.0	6.0	3.0	0.0	18.0	0.0	0.0	16.0	17.0	0.0	15.0	19.0	124.0	2.0	6.0	3.0	0.0	7.0	0.0	0.0	51.0	4.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	12.0	0.0	2.0	3.0	0.0	4.0	12.0	0.0	8.0	78.0	3.0	0.0	0.0	30.0	0.0	0.0	34.0	3.0	0.0	4.0	0.0	11.0	0.0	2.0	6.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	19.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR19309767	119.0	1932.0	8669.0	2828.0	0.0	2.0	46.0	18.0	1335.0	322.0	712.0	515.0	235.0	16.0	61.0	0.0	965.0	7216.0	3.0	2667.0	272.0	2647.0	40.0	0.0	112.0	0.0	0.0	0.0	50.0	0.0	0.0	10.0	59.0	33.0	354.0	79.0	0.0	23.0	0.0	9.0	0.0	6.0	18.0	19.0	74.0	3.0	29.0	0.0	7.0	334.0	4.0	22.0	285.0	43.0	0.0	3.0	0.0	0.0	3.0	13.0	109.0	0.0	68.0	10.0	67.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	4.0	21.0	6.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	19.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	5.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	14.0	0.0	0.0	0.0	0.0
SRR19309768	142.0	2358.0	15440.0	4159.0	0.0	50.0	13.0	12.0	2308.0	251.0	643.0	477.0	101.0	215.0	52.0	0.0	395.0	9514.0	0.0	2629.0	339.0	2910.0	31.0	0.0	56.0	5.0	0.0	0.0	105.0	0.0	0.0	5.0	193.0	67.0	256.0	58.0	4.0	6.0	0.0	3.0	0.0	11.0	0.0	39.0	36.0	0.0	35.0	3.0	217.0	611.0	0.0	40.0	599.0	15.0	8.0	0.0	6.0	0.0	0.0	50.0	60.0	12.0	36.0	0.0	47.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	11.0	12.0	0.0	11.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	37.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	10.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0
SRR19309769	146.0	2537.0	10133.0	4381.0	0.0	52.0	9.0	48.0	1721.0	369.0	692.0	341.0	143.0	32.0	11.0	0.0	588.0	6063.0	0.0	2379.0	133.0	2164.0	21.0	0.0	57.0	0.0	0.0	5.0	201.0	2.0	0.0	4.0	55.0	13.0	357.0	50.0	5.0	15.0	3.0	0.0	0.0	17.0	0.0	33.0	82.0	0.0	40.0	0.0	11.0	319.0	0.0	35.0	192.0	46.0	0.0	0.0	14.0	0.0	4.0	19.0	72.0	0.0	0.0	9.0	39.0	0.0	0.0	0.0	3.0	16.0	0.0	7.0	0.0	5.0	9.0	180.0	0.0	4.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	26.0	0.0	13.0	0.0	0.0
SRR19309770	192.0	3911.0	9366.0	4492.0	0.0	83.0	33.0	57.0	2568.0	301.0	1016.0	554.0	287.0	156.0	16.0	0.0	595.0	8920.0	0.0	2401.0	202.0	2856.0	5.0	0.0	51.0	0.0	0.0	0.0	26.0	0.0	13.0	0.0	487.0	46.0	439.0	45.0	0.0	22.0	0.0	0.0	0.0	28.0	0.0	34.0	54.0	4.0	32.0	8.0	14.0	578.0	0.0	0.0	960.0	0.0	2.0	5.0	0.0	0.0	8.0	233.0	70.0	0.0	24.0	0.0	0.0	0.0	7.0	0.0	9.0	0.0	0.0	0.0	3.0	0.0	15.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	2.0	0.0	0.0	7.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0
SRR19309771	92.0	2438.0	4857.0	1509.0	0.0	15.0	0.0	22.0	708.0	133.0	438.0	220.0	145.0	44.0	5.0	0.0	296.0	3799.0	0.0	1163.0	30.0	1600.0	20.0	0.0	7.0	0.0	0.0	0.0	61.0	0.0	2.0	0.0	86.0	25.0	193.0	15.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	7.0	82.0	0.0	5.0	0.0	4.0	240.0	0.0	19.0	60.0	10.0	8.0	0.0	4.0	0.0	2.0	26.0	35.0	0.0	19.0	8.0	39.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	4.0	11.0	21.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0
SRR19309772	53.0	836.0	14066.0	6059.0	0.0	0.0	31.0	9.0	4464.0	408.0	323.0	561.0	110.0	0.0	43.0	0.0	910.0	9206.0	0.0	6499.0	95.0	3158.0	8.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	4.0	6.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	141.0	49.0	0.0	0.0	0.0	0.0	801.0	0.0	45.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	28.0	10.0	141.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	39.0	0.0	0.0	0.0	0.0
SRR19309773	40.0	249.0	2158.0	956.0	6.0	0.0	0.0	4.0	430.0	149.0	396.0	121.0	149.0	0.0	12.0	0.0	756.0	2305.0	6.0	1706.0	21.0	2232.0	3.0	0.0	76.0	0.0	0.0	0.0	0.0	0.0	8.0	3.0	32.0	17.0	228.0	30.0	0.0	21.0	0.0	0.0	0.0	3.0	4.0	0.0	27.0	0.0	0.0	0.0	2.0	234.0	0.0	9.0	3.0	30.0	5.0	0.0	15.0	0.0	7.0	0.0	44.0	7.0	10.0	2.0	11.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	11.0	0.0	0.0	0.0	0.0
SRR19309774	105.0	599.0	2912.0	2063.0	0.0	23.0	4.0	14.0	729.0	156.0	341.0	310.0	147.0	0.0	26.0	0.0	616.0	4229.0	0.0	2105.0	88.0	2042.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	129.0	10.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	12.0	49.0	2.0	16.0	0.0	3.0	535.0	0.0	13.0	47.0	8.0	0.0	0.0	0.0	0.0	0.0	3.0	11.0	0.0	45.0	3.0	24.0	0.0	0.0	0.0	3.0	7.0	0.0	0.0	0.0	7.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	48.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0
SRR19309775	30.0	580.0	1597.0	2486.0	0.0	0.0	0.0	7.0	574.0	113.0	156.0	153.0	68.0	0.0	29.0	0.0	190.0	2998.0	0.0	1900.0	214.0	1767.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	8.0	124.0	9.0	84.0	21.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	4.0	0.0	0.0	322.0	0.0	3.0	48.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
SRR19309776	36.0	753.0	4128.0	1980.0	0.0	20.0	0.0	17.0	1082.0	181.0	353.0	259.0	126.0	3.0	87.0	0.0	197.0	5759.0	0.0	3596.0	94.0	3482.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	2.0	0.0	7.0	83.0	19.0	189.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	80.0	0.0	11.0	0.0	0.0	467.0	0.0	19.0	95.0	40.0	12.0	2.0	2.0	0.0	0.0	0.0	53.0	13.0	43.0	4.0	143.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	39.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	15.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	7.0	0.0	0.0	0.0	0.0	10.0	14.0	0.0	0.0	0.0	0.0
SRR19309777	43.0	565.0	2934.0	1533.0	0.0	0.0	4.0	8.0	661.0	229.0	450.0	279.0	151.0	0.0	42.0	0.0	372.0	3583.0	0.0	1889.0	101.0	2845.0	6.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	136.0	18.0	169.0	24.0	0.0	0.0	0.0	3.0	4.0	3.0	5.0	0.0	63.0	0.0	8.0	4.0	0.0	428.0	0.0	0.0	45.0	30.0	0.0	0.0	0.0	0.0	2.0	10.0	35.0	0.0	0.0	12.0	54.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	7.0	26.0	14.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0
SRR19309779	275.0	5695.0	10642.0	3999.0	0.0	113.0	146.0	310.0	5294.0	6015.0	299.0	2344.0	1017.0	127.0	1151.0	5.0	3591.0	12956.0	14.0	2947.0	213.0	510.0	3.0	0.0	478.0	7.0	0.0	3.0	15.0	11.0	961.0	0.0	209.0	126.0	1089.0	218.0	116.0	22.0	0.0	106.0	0.0	323.0	9.0	124.0	134.0	0.0	7.0	15.0	47.0	89.0	0.0	0.0	398.0	80.0	3.0	237.0	19.0	0.0	4.0	33.0	186.0	0.0	0.0	14.0	79.0	37.0	9.0	4.0	0.0	0.0	67.0	8.0	28.0	28.0	0.0	39.0	7.0	195.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	280.0	0.0	30.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	15.0	7.0	0.0	7.0	0.0	21.0	0.0	6.0	0.0	0.0
SRR19309780	243.0	5980.0	8519.0	3076.0	0.0	187.0	111.0	182.0	4814.0	4724.0	159.0	1879.0	996.0	131.0	1219.0	11.0	3829.0	10883.0	22.0	1323.0	92.0	300.0	0.0	3.0	374.0	19.0	13.0	4.0	0.0	7.0	1599.0	0.0	261.0	103.0	1011.0	273.0	85.0	54.0	0.0	162.0	0.0	313.0	9.0	64.0	152.0	0.0	12.0	18.0	97.0	86.0	0.0	40.0	154.0	166.0	22.0	167.0	9.0	4.0	0.0	57.0	150.0	32.0	0.0	18.0	155.0	19.0	0.0	0.0	22.0	0.0	28.0	0.0	32.0	8.0	2.0	20.0	0.0	166.0	0.0	4.0	0.0	8.0	0.0	0.0	0.0	0.0	8.0	0.0	379.0	3.0	68.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	24.0	0.0	0.0	0.0	12.0	0.0	2.0	0.0	48.0	0.0	23.0	0.0	0.0
SRR19309781	103.0	3439.0	10824.0	2654.0	0.0	77.0	52.0	129.0	3187.0	2609.0	111.0	821.0	588.0	96.0	375.0	0.0	3205.0	8225.0	11.0	1366.0	92.0	1018.0	0.0	0.0	160.0	0.0	0.0	6.0	8.0	0.0	506.0	0.0	143.0	56.0	386.0	63.0	55.0	16.0	0.0	344.0	0.0	225.0	6.0	24.0	162.0	5.0	0.0	6.0	74.0	103.0	0.0	17.0	118.0	138.0	24.0	58.0	12.0	0.0	0.0	13.0	68.0	16.0	0.0	0.0	184.0	0.0	2.0	0.0	9.0	26.0	36.0	7.0	0.0	6.0	0.0	16.0	0.0	56.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	114.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	19.0	0.0	0.0	3.0	0.0	0.0	6.0	7.0	0.0	0.0	0.0	0.0	17.0	10.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	49.0	0.0	11.0	0.0	0.0
SRR19309782	222.0	4627.0	7018.0	4058.0	0.0	124.0	72.0	126.0	3454.0	3317.0	99.0	1284.0	379.0	138.0	574.0	4.0	2018.0	7670.0	11.0	1050.0	33.0	288.0	0.0	2.0	229.0	11.0	16.0	5.0	6.0	3.0	430.0	14.0	75.0	46.0	693.0	141.0	99.0	10.0	0.0	54.0	0.0	194.0	9.0	64.0	124.0	6.0	0.0	6.0	61.0	99.0	0.0	32.0	246.0	45.0	0.0	116.0	7.0	0.0	2.0	17.0	90.0	14.0	0.0	8.0	112.0	15.0	16.0	0.0	5.0	8.0	20.0	19.0	14.0	0.0	0.0	146.0	11.0	67.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	174.0	25.0	48.0	13.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	6.0	0.0	0.0	10.0	0.0	3.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	5.0	10.0	0.0	16.0	7.0	0.0	0.0	0.0	0.0	54.0	0.0	0.0	0.0	0.0
SRR19309783	46.0	1002.0	11388.0	6851.0	0.0	9.0	88.0	29.0	3676.0	600.0	194.0	956.0	209.0	10.0	39.0	0.0	1247.0	10799.0	0.0	7338.0	74.0	5428.0	22.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	4.0	14.0	13.0	47.0	5.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	72.0	97.0	0.0	7.0	0.0	0.0	820.0	0.0	31.0	7.0	22.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	20.0	34.0	123.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	8.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	40.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	68.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	9.0	0.0	0.0	0.0	0.0
