#SampleID	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Patescibacteria	d__Bacteria;p__Planctomycetota	d__Bacteria;p__Chloroflexi	d__Bacteria;p__Bdellovibrionota	d__Bacteria;p__Cyanobacteria	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__Firmicutes	d__Bacteria;p__Sumerlaeota	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Dependentiae	d__Bacteria;p__Gemmatimonadota	d__Bacteria;p__Myxococcota	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Armatimonadota	d__Bacteria;p__Elusimicrobiota	d__Bacteria;p__Fibrobacterota	d__Bacteria;p__Methylomirabilota	d__Bacteria;p__WS2	d__Bacteria;p__Abditibacteriota	d__Bacteria;p__SAR324_clade(Marine_group_B)	d__Bacteria;p__Halanaerobiaeota	d__Bacteria;p__FCPU426	d__Bacteria;p__WPS-2	d__Bacteria;p__Hydrogenedentes	d__Bacteria;p__Latescibacterota	d__Bacteria;p__NB1-j	d__Bacteria;p__Deinococcota	d__Bacteria;p__Nitrospirota	d__Bacteria;p__Spirochaetota	d__Bacteria;p__TX1A-33	d__Bacteria;p__Dadabacteria	d__Bacteria;p__MBNT15	d__Bacteria;p__Margulisbacteria
ERR4837335	12933.0	224.0	1503.0	471.0	215.0	41.0	1188.0	2042.0	173.0	2488.0	55.0	1274.0	31.0	2345.0	2069.0	4235.0	180.0	5.0	24.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0
ERR4837336	21173.0	461.0	2218.0	1706.0	380.0	97.0	2078.0	2089.0	482.0	2848.0	7.0	4575.0	0.0	1607.0	3100.0	3700.0	208.0	66.0	3.0	0.0	17.0	0.0	0.0	0.0	0.0	7.0	20.0	6.0	0.0	0.0	82.0	0.0	29.0	0.0	0.0	0.0
ERR4837337	15245.0	113.0	2665.0	1873.0	220.0	130.0	1779.0	1641.0	369.0	1268.0	18.0	4537.0	21.0	1523.0	2699.0	2826.0	119.0	144.0	8.0	0.0	23.0	5.0	0.0	0.0	0.0	6.0	24.0	0.0	0.0	0.0	75.0	0.0	21.0	0.0	0.0	0.0
ERR4837338	10323.0	129.0	971.0	1029.0	237.0	99.0	405.0	941.0	333.0	1125.0	5.0	1958.0	18.0	747.0	1344.0	1964.0	48.0	12.0	3.0	0.0	8.0	4.0	4.0	0.0	0.0	14.0	8.0	5.0	0.0	0.0	9.0	0.0	13.0	0.0	0.0	0.0
ERR4837339	18205.0	469.0	2634.0	940.0	545.0	359.0	2358.0	4820.0	1054.0	6216.0	68.0	2321.0	17.0	2941.0	2992.0	7348.0	364.0	14.0	36.0	0.0	11.0	16.0	9.0	3.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	136.0	13.0	0.0	0.0
ERR4837340	13080.0	310.0	1873.0	840.0	335.0	174.0	2240.0	3266.0	779.0	4471.0	104.0	1467.0	30.0	1518.0	2352.0	4691.0	327.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	10.0	0.0	0.0
ERR4837341	14398.0	242.0	2181.0	1864.0	392.0	65.0	3083.0	1762.0	408.0	3078.0	22.0	2704.0	13.0	1410.0	3184.0	3603.0	373.0	144.0	16.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	24.0	0.0	29.0	0.0	5.0	0.0
ERR4837342	20533.0	285.0	1871.0	1658.0	493.0	217.0	800.0	1766.0	633.0	2233.0	7.0	3531.0	11.0	1411.0	2166.0	3331.0	132.0	122.0	22.0	0.0	9.0	3.0	2.0	0.0	0.0	6.0	0.0	6.0	0.0	0.0	0.0	0.0	50.0	0.0	14.0	0.0
ERR4837343	13433.0	158.0	1310.0	1149.0	197.0	39.0	2324.0	1490.0	321.0	2135.0	13.0	2815.0	11.0	1741.0	2192.0	2501.0	243.0	20.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	9.0	10.0	0.0	0.0	0.0	0.0	114.0	0.0	6.0	0.0
ERR4837344	13428.0	76.0	2169.0	531.0	511.0	599.0	1712.0	3657.0	273.0	4554.0	68.0	1935.0	34.0	1529.0	2632.0	5384.0	229.0	2.0	17.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	4.0	0.0	37.0	9.0	0.0	0.0
ERR4837345	17336.0	109.0	1876.0	1909.0	401.0	180.0	2278.0	1819.0	384.0	3121.0	6.0	2838.0	14.0	1428.0	2846.0	3407.0	124.0	83.0	0.0	0.0	27.0	2.0	2.0	0.0	0.0	20.0	20.0	3.0	0.0	0.0	14.0	0.0	25.0	0.0	10.0	0.0
