#SampleID	d__Bacteria;p__Gemmatimonadota	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Firmicutes	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Abditibacteriota	d__Bacteria;p__Myxococcota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Chloroflexi	d__Bacteria;p__Bdellovibrionota	d__Bacteria;p__Planctomycetota	d__Bacteria;p__Dependentiae	d__Bacteria;p__Armatimonadota	d__Bacteria;p__Elusimicrobiota	d__Bacteria;p__NB1-j	d__Bacteria;p__Campylobacterota	d__Bacteria;p__Fibrobacterota	d__Bacteria;p__Nitrospirota	d__Bacteria;p__SAR324_clade(Marine_group_B)	d__Bacteria;p__Cyanobacteria	d__Bacteria;p__Patescibacteria	d__Bacteria;p__FCPU426	d__Bacteria;p__MBNT15	d__Bacteria;p__Entotheonellaeota	d__Bacteria;p__Latescibacterota	d__Bacteria;p__Deinococcota	d__Bacteria;p__Fusobacteriota	d__Bacteria;p__WPS-2
SRR21723117	678.0	2976.0	297.0	0.0	746.0	2063.0	7242.0	6.0	116.0	61.0	38.0	9.0	0.0	5.0	2.0	0.0	0.0	0.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723124	2169.0	35985.0	6227.0	0.0	9134.0	4251.0	30545.0	45.0	946.0	296.0	244.0	128.0	6.0	58.0	87.0	7.0	0.0	0.0	25.0	132.0	0.0	0.0	225.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723126	309.0	8352.0	1636.0	6.0	1811.0	1381.0	10355.0	7.0	62.0	16.0	62.0	31.0	0.0	31.0	7.0	3.0	0.0	0.0	0.0	26.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723127	749.0	16213.0	2022.0	0.0	3128.0	1312.0	21464.0	21.0	496.0	168.0	172.0	124.0	12.0	33.0	0.0	10.0	0.0	0.0	36.0	53.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723128	1042.0	14976.0	1848.0	0.0	5437.0	1562.0	17843.0	17.0	370.0	147.0	200.0	83.0	0.0	19.0	19.0	20.0	0.0	0.0	0.0	174.0	0.0	2.0	81.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723129	1378.0	22870.0	2973.0	0.0	3470.0	1787.0	24513.0	41.0	624.0	231.0	135.0	129.0	17.0	28.0	37.0	20.0	0.0	0.0	99.0	41.0	0.0	14.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723130	938.0	14144.0	2827.0	0.0	1059.0	839.0	13171.0	39.0	424.0	151.0	93.0	70.0	0.0	5.0	12.0	2.0	0.0	0.0	17.0	18.0	0.0	4.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723131	681.0	13378.0	2379.0	0.0	3657.0	1933.0	15042.0	19.0	218.0	87.0	134.0	28.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	63.0	0.0	3.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723132	1125.0	18899.0	2085.0	0.0	3912.0	1447.0	23691.0	36.0	445.0	207.0	144.0	62.0	7.0	34.0	3.0	6.0	0.0	0.0	17.0	102.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723133	788.0	14279.0	2488.0	2.0	2984.0	958.0	15043.0	12.0	382.0	200.0	96.0	87.0	3.0	16.0	27.0	0.0	0.0	0.0	23.0	58.0	2.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723134	1425.0	16838.0	2616.0	0.0	2768.0	2218.0	21014.0	42.0	49.0	44.0	166.0	65.0	0.0	30.0	8.0	10.0	0.0	0.0	0.0	92.0	0.0	5.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723135	953.0	16241.0	1784.0	0.0	2842.0	1234.0	19120.0	19.0	363.0	224.0	146.0	46.0	13.0	30.0	5.0	12.0	0.0	0.0	55.0	55.0	0.0	19.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723136	4977.0	38026.0	5785.0	0.0	9817.0	8454.0	52860.0	29.0	962.0	597.0	321.0	113.0	0.0	136.0	24.0	48.0	0.0	0.0	0.0	368.0	4.0	2.0	8.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
SRR21723137	1158.0	12253.0	1093.0	0.0	3558.0	2252.0	17561.0	0.0	262.0	12.0	104.0	7.0	0.0	28.0	5.0	5.0	0.0	0.0	0.0	52.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723138	869.0	17021.0	3229.0	0.0	1615.0	1009.0	16853.0	23.0	308.0	117.0	146.0	78.0	2.0	26.0	15.0	6.0	0.0	0.0	42.0	43.0	0.0	9.0	9.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0
SRR21723139	1167.0	16077.0	1661.0	10.0	3263.0	1486.0	17953.0	41.0	385.0	218.0	216.0	127.0	0.0	19.0	14.0	7.0	0.0	0.0	92.0	80.0	4.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723140	2610.0	8584.0	761.0	6.0	1776.0	4327.0	18291.0	25.0	477.0	150.0	65.0	2.0	9.0	33.0	3.0	21.0	0.0	0.0	3.0	160.0	0.0	0.0	8.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
SRR21723141	1734.0	8525.0	676.0	16.0	2339.0	4763.0	17849.0	30.0	314.0	164.0	128.0	36.0	0.0	30.0	0.0	6.0	7.0	0.0	0.0	35.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723142	2131.0	8415.0	911.0	0.0	2755.0	6231.0	18516.0	26.0	330.0	264.0	133.0	58.0	0.0	80.0	7.0	23.0	0.0	0.0	3.0	124.0	0.0	2.0	29.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0
SRR21723143	1367.0	5478.0	843.0	0.0	1531.0	4648.0	13344.0	6.0	303.0	165.0	52.0	36.0	0.0	33.0	2.0	5.0	0.0	0.0	2.0	81.0	0.0	0.0	14.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0
SRR21723147	364.0	3610.0	687.0	0.0	1468.0	1371.0	7583.0	14.0	100.0	43.0	78.0	23.0	0.0	4.0	6.0	3.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723148	622.0	6307.0	1050.0	0.0	1882.0	2481.0	11640.0	25.0	192.0	162.0	77.0	3.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
SRR21723149	566.0	6112.0	1210.0	0.0	1784.0	2029.0	12736.0	2.0	170.0	85.0	87.0	12.0	0.0	46.0	8.0	5.0	0.0	0.0	0.0	5.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723150	298.0	4223.0	475.0	0.0	1623.0	983.0	5890.0	9.0	125.0	58.0	59.0	19.0	0.0	14.0	0.0	6.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723151	444.0	7331.0	1612.0	0.0	2000.0	2272.0	14983.0	11.0	100.0	76.0	76.0	11.0	0.0	11.0	2.0	0.0	0.0	0.0	0.0	9.0	0.0	3.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723152	664.0	5073.0	1810.0	4.0	760.0	2458.0	15176.0	13.0	50.0	57.0	68.0	8.0	0.0	11.0	5.0	2.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
