#SampleID	StudyID	StudyName	Treatment	Host	HostSpecific	RootCompartment	Inoculum	Primers
SRR21723585	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723586	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723587	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723588	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum turgidum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723589	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723590	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723591	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723592	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723594	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723595	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723596	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum turgidum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723597	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723598	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum turgidum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723599	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum turgidum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723600	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723601	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723602	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723603	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723604	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723605	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723606	azarbad2022response	Azarbad et al. (2022)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723607	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723608	azarbad2022response	Azarbad et al. (2022)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723609	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723610	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723611	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723612	azarbad2022response	Azarbad et al. (2022)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
