#SampleID	StudyID	StudyName	Treatment	Host	HostSpecific	RootCompartment	Inoculum	Primers
SRR5532700	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR5532701	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR5532702	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza glaberrima	Endosphere	Not available for this type of experiment	515F,806R
SRR5532703	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza glaberrima	Endosphere	Not available for this type of experiment	515F,806R
SRR5532704	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR5532705	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR5532706	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532707	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532708	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza glaberrima	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532709	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza glaberrima	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532710	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532711	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532712	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza glaberrima	Endosphere	Not available for this type of experiment	515F,806R
SRR5532713	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza glaberrima	Endosphere	Not available for this type of experiment	515F,806R
SRR5532714	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
