#SampleID	d__Bacteria;p__Patescibacteria	d__Bacteria;p__Firmicutes	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__WS4	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Planctomycetota	d__Bacteria;p__Methylomirabilota	d__Bacteria;p__Chloroflexi	d__Bacteria;p__Myxococcota	d__Bacteria;p__Armatimonadota	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__MBNT15	d__Bacteria;p__Zixibacteria	d__Bacteria;p__Cyanobacteria	d__Bacteria;p__Gemmatimonadota	d__Bacteria;p__Elusimicrobiota	d__Bacteria;p__Bdellovibrionota	d__Bacteria;p__Spirochaetota	d__Bacteria;p__Sumerlaeota	d__Bacteria;p__Deferrisomatota	d__Bacteria;p__Hydrogenedentes	d__Bacteria;p__Fibrobacterota	d__Bacteria;p__Abditibacteriota	d__Bacteria;p__Sva0485	d__Bacteria;p__Latescibacterota	d__Bacteria;p__Nitrospirota	d__Bacteria;p__Entotheonellaeota	d__Bacteria;p__Deinococcota	d__Bacteria;p__WS1	d__Bacteria;p__Margulisbacteria	d__Bacteria;p__Dependentiae	d__Bacteria;p__FCPU426	d__Bacteria;p__SAR324_clade(Marine_group_B)	d__Bacteria;p__Modulibacteria	d__Bacteria;p__Campylobacterota	d__Bacteria;p__WOR-1	d__Bacteria;p__WPS-2	d__Bacteria;p__Cloacimonadota	d__Bacteria;p__LCP-89	d__Bacteria;p__TX1A-33	d__Bacteria;p__WS2	d__Bacteria;p__DTB120	d__Bacteria;p__FW113	d__Bacteria;p__NB1-j	d__Bacteria;p__GAL15	d__Bacteria;p__CK-2C2-2	d__Bacteria;p__Nitrospinota	d__Bacteria;p__RCP2-54
SRR5532772	7.0	598.0	161.0	1234.0	170.0	0.0	2606.0	12729.0	51.0	0.0	2875.0	3229.0	15.0	267.0	0.0	0.0	11.0	8.0	4.0	20.0	16.0	1.0	0.0	16.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532773	16.0	397.0	119.0	426.0	55.0	0.0	2368.0	4469.0	39.0	0.0	3074.0	3658.0	9.0	184.0	0.0	0.0	23.0	11.0	0.0	20.0	7.0	0.0	0.0	0.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532777	10.0	56.0	139.0	1088.0	52.0	0.0	568.0	6412.0	23.0	0.0	1857.0	2558.0	11.0	211.0	0.0	0.0	17.0	25.0	2.0	88.0	18.0	0.0	0.0	0.0	1367.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532778	23.0	1317.0	284.0	1152.0	105.0	0.0	877.0	15637.0	25.0	0.0	2531.0	3790.0	0.0	553.0	0.0	1.0	0.0	13.0	5.0	74.0	33.0	0.0	6.0	0.0	1258.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532779	241.0	330.0	1830.0	386.0	1683.0	32.0	734.0	6154.0	335.0	17.0	3043.0	3226.0	290.0	6848.0	3.0	2.0	72.0	594.0	55.0	102.0	19.0	35.0	19.0	4.0	45.0	0.0	2.0	124.0	293.0	0.0	0.0	0.0	0.0	9.0	3.0	0.0	9.0	0.0	0.0	1.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532780	184.0	1398.0	1766.0	832.0	1708.0	15.0	1042.0	6190.0	746.0	78.0	8640.0	4924.0	990.0	9665.0	0.0	4.0	88.0	932.0	83.0	90.0	135.0	97.0	45.0	35.0	80.0	0.0	0.0	371.0	159.0	0.0	0.0	10.0	0.0	0.0	2.0	1.0	41.0	0.0	5.0	3.0	49.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532781	27.0	526.0	591.0	877.0	321.0	13.0	809.0	6221.0	1138.0	47.0	1741.0	2006.0	183.0	3632.0	0.0	16.0	175.0	2236.0	58.0	51.0	63.0	33.0	12.0	46.0	56.0	0.0	0.0	72.0	172.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	19.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532782	81.0	1089.0	864.0	1948.0	994.0	0.0	1600.0	8924.0	1180.0	91.0	3032.0	4096.0	244.0	5202.0	0.0	2.0	156.0	3162.0	84.0	156.0	117.0	23.0	19.0	73.0	62.0	0.0	0.0	60.0	98.0	0.0	12.0	3.0	0.0	9.0	0.0	0.0	5.0	6.0	0.0	0.0	42.0	19.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0
SRR5532783	6.0	207.0	168.0	1251.0	118.0	0.0	490.0	15511.0	32.0	0.0	784.0	3315.0	2.0	232.0	0.0	0.0	0.0	16.0	0.0	7.0	9.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532784	12.0	258.0	236.0	818.0	158.0	0.0	962.0	11209.0	22.0	0.0	1172.0	4420.0	2.0	289.0	0.0	1.0	0.0	48.0	5.0	0.0	32.0	0.0	0.0	0.0	258.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	359.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532785	48.0	405.0	768.0	282.0	847.0	49.0	392.0	2500.0	388.0	22.0	2999.0	2157.0	316.0	4486.0	0.0	2.0	46.0	589.0	27.0	3.0	30.0	33.0	26.0	7.0	25.0	0.0	0.0	97.0	258.0	0.0	5.0	3.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	10.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532786	440.0	1110.0	3977.0	991.0	1743.0	110.0	1978.0	9732.0	1328.0	122.0	11913.0	5658.0	1070.0	14582.0	14.0	3.0	97.0	2135.0	123.0	175.0	109.0	112.0	37.0	41.0	52.0	0.0	0.0	342.0	292.0	0.0	0.0	6.0	0.0	9.0	0.0	0.0	67.0	0.0	9.0	84.0	40.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532788	83.0	267.0	1457.0	290.0	900.0	20.0	6103.0	5270.0	524.0	8.0	5613.0	2547.0	507.0	3164.0	0.0	0.0	78.0	412.0	19.0	39.0	13.0	11.0	19.0	0.0	0.0	0.0	0.0	75.0	81.0	0.0	5.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532790	93.0	793.0	1300.0	1776.0	412.0	6.0	11032.0	10905.0	1778.0	15.0	7812.0	2365.0	260.0	4457.0	4.0	0.0	100.0	5002.0	26.0	41.0	41.0	17.0	0.0	17.0	191.0	0.0	0.0	25.0	44.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532791	82.0	1557.0	1088.0	1780.0	806.0	11.0	11694.0	14327.0	1028.0	32.0	7913.0	2574.0	255.0	3492.0	0.0	3.0	65.0	2867.0	3.0	65.0	39.0	32.0	9.0	67.0	137.0	3.0	0.0	16.0	64.0	4.0	12.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532792	10.0	656.0	459.0	123.0	661.0	4.0	10330.0	4031.0	592.0	0.0	5060.0	1494.0	404.0	2797.0	0.0	0.0	72.0	470.0	4.0	26.0	38.0	19.0	14.0	0.0	10.0	0.0	0.0	10.0	35.0	0.0	20.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532794	17.0	172.0	203.0	534.0	135.0	0.0	2155.0	2716.0	167.0	4.0	1575.0	320.0	41.0	1004.0	0.0	4.0	24.0	762.0	8.0	3.0	5.0	0.0	5.0	17.0	360.0	0.0	0.0	2.0	55.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532795	89.0	229.0	900.0	2506.0	373.0	42.0	4200.0	9786.0	1175.0	26.0	4080.0	922.0	244.0	3544.0	0.0	17.0	121.0	3477.0	23.0	36.0	13.0	23.0	11.0	62.0	735.0	3.0	0.0	22.0	49.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532796	66.0	578.0	411.0	1272.0	306.0	0.0	10389.0	15663.0	383.0	8.0	4868.0	1500.0	105.0	1078.0	0.0	0.0	66.0	742.0	1.0	40.0	17.0	10.0	7.0	16.0	57.0	0.0	0.0	0.0	0.0	0.0	14.0	5.0	0.0	8.0	0.0	0.0	6.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532797	75.0	1204.0	1288.0	1865.0	508.0	4.0	13733.0	13590.0	1010.0	24.0	9034.0	2435.0	128.0	3066.0	0.0	0.0	56.0	1914.0	21.0	39.0	26.0	25.0	0.0	23.0	137.0	2.0	0.0	8.0	20.0	0.0	13.0	1.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532798	9.0	264.0	506.0	362.0	161.0	2.0	2756.0	5278.0	1535.0	93.0	3273.0	2459.0	332.0	5589.0	0.0	0.0	527.0	3586.0	36.0	145.0	52.0	14.0	0.0	34.0	15.0	0.0	0.0	23.0	85.0	0.0	0.0	0.0	0.0	9.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532799	95.0	1560.0	1250.0	1447.0	456.0	53.0	2514.0	8086.0	1494.0	96.0	4666.0	3078.0	466.0	8185.0	6.0	9.0	610.0	3996.0	83.0	154.0	64.0	64.0	73.0	78.0	36.0	0.0	3.0	61.0	501.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	108.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532800	773.0	316.0	953.0	344.0	276.0	15.0	3163.0	5639.0	1442.0	11.0	8721.0	4474.0	525.0	9947.0	3.0	6.0	229.0	1706.0	46.0	182.0	50.0	39.0	8.0	0.0	6.0	0.0	0.0	254.0	135.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	49.0	2.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532801	60.0	9968.0	625.0	1399.0	464.0	50.0	1912.0	2696.0	1319.0	68.0	5657.0	4248.0	457.0	5381.0	0.0	0.0	158.0	1800.0	108.0	30.0	431.0	126.0	11.0	60.0	36.0	0.0	0.0	51.0	98.0	0.0	13.0	4.0	0.0	0.0	8.0	0.0	15.0	0.0	0.0	0.0	65.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532802	17.0	2612.0	569.0	956.0	329.0	0.0	2475.0	5806.0	1524.0	71.0	4242.0	5400.0	303.0	5743.0	0.0	2.0	659.0	3372.0	119.0	73.0	164.0	78.0	12.0	75.0	18.0	0.0	0.0	55.0	83.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	38.0	19.0	0.0	1.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532803	51.0	3463.0	1055.0	958.0	404.0	25.0	2302.0	6233.0	1738.0	115.0	4182.0	3041.0	353.0	8186.0	4.0	22.0	173.0	4734.0	49.0	3.0	52.0	66.0	114.0	52.0	7.0	0.0	0.0	138.0	398.0	0.0	27.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	6.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532804	53.0	742.0	735.0	351.0	300.0	24.0	1802.0	2128.0	406.0	79.0	7410.0	3176.0	462.0	11399.0	3.0	7.0	19.0	1243.0	58.0	20.0	138.0	49.0	13.0	7.0	17.0	0.0	0.0	315.0	119.0	0.0	15.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	6.0	19.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532805	44.0	2102.0	907.0	1888.0	428.0	17.0	2495.0	7920.0	1726.0	84.0	4977.0	4856.0	513.0	6787.0	11.0	0.0	1911.0	3663.0	124.0	69.0	186.0	94.0	0.0	44.0	21.0	0.0	0.0	77.0	136.0	0.0	14.0	0.0	0.0	0.0	5.0	0.0	3.0	0.0	0.0	18.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532806	40.0	1496.0	496.0	799.0	294.0	1.0	836.0	3227.0	850.0	76.0	2490.0	1344.0	271.0	6645.0	0.0	1.0	219.0	2132.0	20.0	7.0	61.0	27.0	54.0	44.0	50.0	0.0	0.0	59.0	160.0	0.0	14.0	3.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532807	459.0	304.0	841.0	450.0	317.0	0.0	3971.0	7359.0	1250.0	35.0	7735.0	4533.0	483.0	8959.0	3.0	0.0	140.0	1697.0	43.0	150.0	49.0	35.0	12.0	1.0	1.0	0.0	0.0	139.0	120.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	70.0	0.0	2.0	3.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532808	16.0	347.0	497.0	398.0	281.0	9.0	4430.0	7343.0	1542.0	114.0	4276.0	3141.0	197.0	6501.0	0.0	0.0	85.0	4092.0	23.0	170.0	14.0	28.0	0.0	35.0	14.0	0.0	0.0	19.0	101.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532809	44.0	93.0	523.0	998.0	182.0	0.0	2198.0	7368.0	1667.0	128.0	4235.0	1562.0	310.0	8824.0	0.0	8.0	973.0	3782.0	24.0	93.0	6.0	16.0	21.0	21.0	15.0	0.0	0.0	65.0	235.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532810	36.0	11.0	202.0	208.0	62.0	0.0	3254.0	1924.0	108.0	0.0	1719.0	2430.0	34.0	311.0	0.0	0.0	12.0	31.0	0.0	30.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532811	9.0	96.0	129.0	181.0	39.0	0.0	1587.0	1216.0	131.0	0.0	1543.0	5666.0	35.0	367.0	0.0	0.0	21.0	13.0	0.0	0.0	3.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532812	201.0	2707.0	1080.0	1883.0	1227.0	41.0	567.0	8532.0	606.0	34.0	1971.0	1835.0	163.0	3737.0	1.0	12.0	97.0	1591.0	44.0	29.0	61.0	35.0	30.0	15.0	162.0	0.0	0.0	22.0	66.0	0.0	49.0	3.0	0.0	0.0	0.0	0.0	2.0	690.0	0.0	0.0	15.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532813	227.0	1974.0	1213.0	2490.0	1219.0	15.0	443.0	9781.0	691.0	29.0	1942.0	2187.0	114.0	4255.0	0.0	11.0	88.0	1534.0	106.0	46.0	53.0	62.0	42.0	50.0	183.0	0.0	0.0	37.0	167.0	3.0	30.0	0.0	4.0	0.0	0.0	3.0	0.0	19.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532814	115.0	965.0	1100.0	1467.0	567.0	7.0	896.0	9198.0	1182.0	68.0	4137.0	2056.0	224.0	6200.0	4.0	10.0	266.0	2338.0	67.0	145.0	61.0	44.0	30.0	40.0	219.0	0.0	0.0	66.0	273.0	0.0	17.0	4.0	0.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	10.0	8.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532815	80.0	423.0	994.0	1998.0	871.0	35.0	726.0	6859.0	757.0	33.0	1729.0	1666.0	113.0	4480.0	0.0	10.0	1939.0	2128.0	84.0	124.0	22.0	27.0	27.0	24.0	222.0	0.0	0.0	65.0	169.0	2.0	8.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	8.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532816	17.0	167.0	269.0	184.0	120.0	0.0	1678.0	3085.0	159.0	0.0	1624.0	3689.0	5.0	705.0	0.0	0.0	39.0	0.0	5.0	0.0	23.0	3.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	7.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532818	30.0	46.0	247.0	219.0	89.0	0.0	1689.0	1368.0	58.0	0.0	1688.0	6543.0	25.0	485.0	0.0	0.0	5.0	10.0	0.0	72.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532819	5.0	25.0	242.0	291.0	124.0	0.0	2653.0	3866.0	120.0	0.0	1432.0	4961.0	92.0	826.0	0.0	0.0	0.0	44.0	0.0	55.0	0.0	6.0	0.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532820	200.0	4640.0	3704.0	2981.0	821.0	31.0	858.0	7562.0	848.0	52.0	2724.0	3124.0	250.0	3944.0	0.0	6.0	75.0	2039.0	66.0	60.0	111.0	37.0	0.0	43.0	103.0	0.0	0.0	35.0	44.0	0.0	13.0	11.0	0.0	4.0	0.0	0.0	4.0	517.0	0.0	0.0	55.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532821	115.0	1562.0	748.0	1837.0	891.0	15.0	860.0	5569.0	448.0	34.0	1597.0	2453.0	130.0	2539.0	0.0	1.0	113.0	1790.0	64.0	49.0	61.0	18.0	9.0	16.0	100.0	0.0	0.0	24.0	60.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	8.0	2.0	0.0	0.0	23.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532822	11.0	977.0	48.0	587.0	19.0	0.0	2878.0	3204.0	48.0	0.0	4081.0	303.0	11.0	755.0	0.0	0.0	6.0	73.0	0.0	8.0	0.0	0.0	0.0	7.0	169.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532823	10.0	547.0	111.0	952.0	13.0	0.0	3162.0	10799.0	41.0	0.0	3454.0	229.0	0.0	435.0	0.0	0.0	28.0	70.0	0.0	17.0	0.0	0.0	0.0	0.0	162.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532824	64.0	5202.0	808.0	1477.0	744.0	25.0	7689.0	14914.0	2294.0	82.0	8405.0	3001.0	661.0	5607.0	0.0	3.0	143.0	5431.0	14.0	15.0	64.0	64.0	0.0	81.0	41.0	0.0	0.0	8.0	44.0	0.0	14.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532825	15.0	1922.0	532.0	1249.0	248.0	4.0	6520.0	13249.0	1455.0	36.0	4963.0	1957.0	249.0	3924.0	0.0	0.0	71.0	4907.0	22.0	58.0	7.0	12.0	0.0	7.0	1.0	0.0	0.0	2.0	28.0	0.0	13.0	0.0	0.0	3.0	0.0	0.0	0.0	17.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532826	32.0	2970.0	260.0	992.0	173.0	0.0	5347.0	13375.0	1233.0	70.0	5711.0	1928.0	253.0	3953.0	0.0	0.0	54.0	6694.0	5.0	20.0	3.0	21.0	0.0	33.0	57.0	0.0	0.0	8.0	20.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532827	15.0	970.0	888.0	2405.0	228.0	0.0	4234.0	11956.0	1580.0	2.0	4777.0	2675.0	227.0	3599.0	2.0	2.0	74.0	4799.0	135.0	43.0	15.0	10.0	0.0	37.0	437.0	0.0	0.0	35.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532828	74.0	1179.0	567.0	272.0	664.0	27.0	10623.0	7557.0	1145.0	9.0	8492.0	3195.0	797.0	4526.0	0.0	0.0	80.0	1052.0	34.0	19.0	90.0	57.0	9.0	9.0	11.0	0.0	0.0	169.0	38.0	0.0	12.0	8.0	0.0	2.0	0.0	0.0	9.0	0.0	0.0	4.0	31.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532829	7.0	2275.0	1355.0	471.0	759.0	14.0	12555.0	9430.0	2202.0	39.0	9499.0	3244.0	1044.0	6904.0	0.0	0.0	209.0	1426.0	31.0	81.0	35.0	72.0	0.0	9.0	59.0	0.0	0.0	29.0	30.0	0.0	21.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	24.0	22.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532830	67.0	1129.0	1754.0	554.0	789.0	59.0	14419.0	11219.0	2635.0	58.0	11041.0	4498.0	1307.0	7668.0	0.0	0.0	86.0	780.0	34.0	113.0	106.0	71.0	23.0	11.0	33.0	0.0	0.0	121.0	125.0	0.0	8.0	3.0	0.0	14.0	0.0	0.0	18.0	5.0	0.0	27.0	32.0	0.0	2.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532831	1356.0	439.0	1370.0	381.0	518.0	32.0	4326.0	8239.0	1413.0	9.0	6634.0	4301.0	917.0	6553.0	0.0	3.0	55.0	1106.0	27.0	148.0	18.0	27.0	0.0	2.0	56.0	0.0	0.0	94.0	27.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	26.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
