#SampleID	d__Bacteria;p__Gemmatimonadota	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Firmicutes	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Abditibacteriota	d__Bacteria;p__Myxococcota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Chloroflexi	d__Bacteria;p__Bdellovibrionota	d__Bacteria;p__Planctomycetota	d__Bacteria;p__Dependentiae	d__Bacteria;p__Armatimonadota	d__Bacteria;p__Elusimicrobiota	d__Bacteria;p__NB1-j	d__Bacteria;p__Campylobacterota	d__Bacteria;p__Fibrobacterota	d__Bacteria;p__Nitrospirota	d__Bacteria;p__SAR324_clade(Marine_group_B)	d__Bacteria;p__Cyanobacteria	d__Bacteria;p__Patescibacteria	d__Bacteria;p__MBNT15	d__Bacteria;p__Entotheonellaeota	d__Bacteria;p__Fusobacteriota	d__Bacteria;p__WPS-2	d__Bacteria;p__Spirochaetota	d__Bacteria;p__WS4	d__Bacteria;p__Hydrogenedentes	d__Bacteria;p__Methylomirabilota	d__Bacteria;p__Latescibacterota	d__Bacteria;p__FCPU426	d__Bacteria;p__Sumerlaeota	d__Bacteria;p__Zixibacteria	d__Bacteria;p__Margulisbacteria	d__Bacteria;p__Cloacimonadota	d__Bacteria;p__Deferrisomatota	d__Bacteria;p__LCP-89	d__Bacteria;p__GAL15	d__Bacteria;p__WOR-1	d__Bacteria;p__WS2	d__Bacteria;p__Deinococcota	d__Bacteria;p__CK-2C2-2	d__Bacteria;p__TX1A-33	d__Bacteria;p__WS1	d__Bacteria;p__Modulibacteria	d__Bacteria;p__DTB120	d__Bacteria;p__Sva0485	d__Bacteria;p__RCP2-54	d__Bacteria;p__Halanaerobiaeota	d__Bacteria;p__Dadabacteria	d__Bacteria;p__Nitrospinota	d__Bacteria;p__PAUC34f	d__Bacteria;p__FW113	d__Bacteria;p__Rs-K70_termite_group	d__Bacteria;p__Deferribacterota	d__Bacteria;p__Synergistota	d__Bacteria;p__Thermotogota	d__Bacteria;p__Caldisericota	d__Bacteria;p__Caldatribacteriota	d__Bacteria;p__Coprothermobacterota
SRR9612682	3446.0	5767.0	930.0	101.0	4763.0	84.0	1679.0	4.0	1287.0	708.0	1633.0	67.0	2210.0	0.0	163.0	27.0	10.0	0.0	39.0	138.0	0.0	225.0	34.0	0.0	5.0	0.0	0.0	3.0	0.0	12.0	271.0	45.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612683	2582.0	3892.0	782.0	32.0	3126.0	33.0	1621.0	0.0	828.0	661.0	1499.0	78.0	1734.0	0.0	148.0	42.0	4.0	0.0	16.0	55.0	0.0	82.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	178.0	28.0	0.0	24.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612685	2834.0	3261.0	363.0	75.0	3989.0	34.0	999.0	0.0	938.0	498.0	1011.0	79.0	1592.0	0.0	151.0	8.0	0.0	0.0	20.0	32.0	0.0	58.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	187.0	54.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612690	2439.0	2969.0	459.0	60.0	3216.0	59.0	2342.0	0.0	883.0	492.0	1230.0	60.0	1220.0	0.0	136.0	57.0	0.0	0.0	26.0	57.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	5.0	125.0	33.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612691	4690.0	4386.0	338.0	64.0	5496.0	88.0	1964.0	0.0	1296.0	908.0	2153.0	65.0	2041.0	0.0	165.0	9.0	9.0	0.0	24.0	99.0	0.0	272.0	12.0	0.0	2.0	0.0	0.0	0.0	43.0	25.0	361.0	73.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612693	4076.0	5756.0	1153.0	100.0	7700.0	121.0	2328.0	0.0	1057.0	978.0	2001.0	101.0	2126.0	0.0	309.0	27.0	0.0	0.0	68.0	63.0	0.0	74.0	37.0	0.0	0.0	0.0	0.0	0.0	3.0	13.0	517.0	256.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612697	2185.0	7574.0	512.0	111.0	2905.0	29.0	783.0	0.0	614.0	476.0	946.0	19.0	1123.0	0.0	93.0	0.0	21.0	0.0	67.0	27.0	0.0	0.0	18.0	5.0	0.0	0.0	0.0	0.0	0.0	15.0	133.0	65.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612698	4867.0	3701.0	301.0	63.0	4880.0	48.0	1830.0	0.0	1016.0	418.0	1480.0	41.0	2659.0	0.0	233.0	6.0	0.0	0.0	14.0	51.0	0.0	6.0	11.0	0.0	5.0	0.0	0.0	0.0	9.0	14.0	405.0	123.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612699	2551.0	3391.0	437.0	32.0	4105.0	75.0	1157.0	0.0	804.0	760.0	1252.0	12.0	1637.0	0.0	103.0	31.0	0.0	0.0	17.0	51.0	0.0	765.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	298.0	117.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612700	3394.0	2412.0	278.0	31.0	4371.0	47.0	1556.0	0.0	1042.0	303.0	1535.0	29.0	1760.0	0.0	112.0	17.0	9.0	0.0	29.0	42.0	0.0	2.0	10.0	0.0	0.0	0.0	0.0	0.0	22.0	15.0	277.0	60.0	0.0	6.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
