#SampleID	d__Bacteria;p__Actinobacteriota;c__Actinobacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	d__Bacteria;p__Chloroflexi;c__Ktedonobacteria	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae	d__Bacteria;p__Actinobacteriota;c__Rubrobacteria	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	d__Bacteria;p__Firmicutes;c__Bacilli	d__Bacteria;p__Bacteroidota;c__Bacteroidia	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria	d__Bacteria;p__Fibrobacterota;c__Fibrobacteria	d__Bacteria;p__Planctomycetota;c__Planctomycetes	d__Bacteria;p__Acidobacteriota;c__Blastocatellia	d__Bacteria;p__Deinococcota;c__Deinococci	d__Bacteria;p__Chloroflexi;c__Chloroflexia	d__Bacteria;p__Planctomycetota;c__Phycisphaerae	d__Bacteria;p__Bdellovibrionota;c__Oligoflexia	d__Bacteria;p__Bacteroidota;c__Kapabacteria	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia	d__Bacteria;p__Myxococcota;c__Polyangia	d__Bacteria;p__Armatimonadota;c__Armatimonadia	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae	d__Bacteria;p__Chloroflexi;c__Anaerolineae	d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia	d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia	d__Bacteria;p__Chloroflexi;c__KD4-96	d__Bacteria;p__Armatimonadota;c__Chthonomonadetes	d__Bacteria;p__Firmicutes;c__Desulfitobacteriia	d__Bacteria;p__Nitrospirota;c__Nitrospiria	d__Bacteria;p__Actinobacteriota;c__MB-A2-108	d__Bacteria;p__Gemmatimonadota;c__Longimicrobia	d__Bacteria;p__Acidobacteriota;c__Holophagae	d__Bacteria;p__Acidobacteriota;c__Subgroup_5	d__Bacteria;p__Sumerlaeota;c__Sumerlaeia	d__Bacteria;p__Dependentiae;c__Babeliae	d__Bacteria;p__Hydrogenedentes;c__Hydrogenedentia	d__Bacteria;p__Latescibacterota;c__Latescibacterota	d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia	d__Bacteria;p__Halanaerobiaeota;c__Halanaerobiia	d__Bacteria;p__Armatimonadota;c__Fimbriimonadia	d__Bacteria;p__Chloroflexi;c__JG30-KF-CM66	d__Bacteria;p__Firmicutes;c__Clostridia	d__Bacteria;p__Chloroflexi;c__Gitt-GS-136	d__Bacteria;p__Chloroflexi;c__Dehalococcoidia	d__Bacteria;p__Firmicutes;c__Negativicutes	d__Bacteria;p__Myxococcota;c__Myxococcia	d__Bacteria;p__Chloroflexi;c__TK10	d__Bacteria;p__Entotheonellaeota;c__Entotheonellia	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia	d__Bacteria;p__Armatimonadota;c__uncultured	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia	d__Bacteria;p__Myxococcota;c__bacteriap25	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia	d__Bacteria;p__Gemmatimonadota;c__S0134_terrestrial_group	d__Bacteria;p__Chloroflexi;c__OLB14	d__Bacteria;p__Abditibacteriota;c__Abditibacteria	d__Bacteria;p__Elusimicrobiota;c__Lineage_IIa	d__Bacteria;p__Patescibacteria;c__uncultured	d__Bacteria;p__Desulfobacterota;c__uncultured	d__Bacteria;p__Patescibacteria;c__WWE3	d__Bacteria;p__Cyanobacteria;c__Sericytochromatia	d__Bacteria;p__Planctomycetota;c__BD7-11	d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia	d__Bacteria;p__Planctomycetota;c__vadinHA49	d__Bacteria;p__Patescibacteria;c__Parcubacteria	d__Bacteria;p__Patescibacteria;c__Gracilibacteria	d__Bacteria;p__RCP2-54;c__RCP2-54	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia	d__Bacteria;p__Bacteroidota;c__Rhodothermia	d__Bacteria;p__Acidobacteriota;c__Subgroup_25	d__Bacteria;p__Chloroflexi;c__AD3	d__Bacteria;p__WPS-2;c__WPS-2	d__Bacteria;p__WS2;c__WS2	d__Bacteria;p__Firmicutes;c__Symbiobacteriia
SRR22815979	2677.0	12282.0	0.0	4.0	0.0	5.0	1896.0	79.0	2064.0	0.0	0.0	0.0	0.0	0.0	11.0	6.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR22815981	14799.0	24358.0	0.0	5.0	0.0	0.0	5676.0	0.0	4928.0	0.0	4.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	8.0	6.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR22815988	5625.0	3397.0	0.0	0.0	0.0	0.0	1657.0	0.0	350.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR22816000	6478.0	26726.0	0.0	443.0	570.0	182.0	17560.0	17087.0	5999.0	0.0	0.0	0.0	33.0	0.0	0.0	51.0	0.0	0.0	0.0	0.0	92.0	0.0	0.0	376.0	0.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.0	0.0	0.0	367.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.0	0.0	0.0	0.0	0.0	150.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR22816003	9256.0	23270.0	0.0	0.0	0.0	0.0	13572.0	73.0	4058.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	174.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	333.0	0.0	0.0	11.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR22816015	2016.0	13391.0	0.0	0.0	0.0	0.0	3505.0	45.0	81.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR22816016	9914.0	26262.0	0.0	0.0	0.0	0.0	17511.0	145.0	2499.0	50.0	0.0	0.0	0.0	0.0	20.0	17.0	0.0	0.0	0.0	37.0	0.0	14.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR22816017	7891.0	29938.0	0.0	0.0	0.0	0.0	3624.0	54.0	3778.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR22816025	4708.0	9202.0	0.0	10.0	0.0	0.0	796.0	0.0	1996.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR22816032	267.0	12022.0	0.0	0.0	0.0	0.0	71.0	0.0	401.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR22816033	6596.0	15857.0	0.0	16.0	0.0	0.0	4250.0	62.0	4630.0	39.0	0.0	0.0	33.0	0.0	79.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR22816055	15909.0	33736.0	0.0	278.0	0.0	33.0	14175.0	3966.0	1794.0	383.0	0.0	0.0	0.0	0.0	0.0	1668.0	0.0	0.0	0.0	0.0	135.0	455.0	0.0	875.0	0.0	0.0	0.0	114.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1278.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR22816058	3533.0	9200.0	0.0	0.0	15.0	0.0	2124.0	0.0	887.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR22816063	2489.0	12242.0	0.0	0.0	0.0	0.0	11829.0	32.0	4067.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
