#SampleID	d__Bacteria;p__Bdellovibrionota	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Myxococcota	d__Bacteria;p__Gemmatimonadota	d__Bacteria;p__Firmicutes	d__Bacteria;p__Dependentiae	d__Bacteria;p__Nitrospirota	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Chloroflexi	d__Bacteria;p__Abditibacteriota	d__Bacteria;p__Planctomycetota	d__Bacteria;p__Elusimicrobiota	d__Bacteria;p__Armatimonadota	d__Bacteria;p__SAR324_clade(Marine_group_B)	d__Bacteria;p__Entotheonellaeota	d__Bacteria;p__Patescibacteria	d__Bacteria;p__Cyanobacteria	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__Fibrobacterota	d__Bacteria;p__MBNT15	d__Bacteria;p__NB1-j	d__Bacteria;p__FCPU426	d__Bacteria;p__Fusobacteriota	d__Bacteria;p__Latescibacterota	d__Bacteria;p__Campylobacterota	d__Bacteria;p__Dadabacteria	d__Bacteria;p__Spirochaetota
SRR8743942	8.0	7115.0	1893.0	10094.0	596.0	1055.0	1737.0	13.0	104.0	1680.0	162.0	39.0	0.0	45.0	24.0	0.0	0.0	11.0	9.0	5.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
SRR8743943	79.0	7156.0	902.0	3307.0	249.0	162.0	1328.0	40.0	17.0	1317.0	111.0	0.0	0.0	12.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0
SRR8743984	15.0	8271.0	3512.0	11410.0	721.0	784.0	2126.0	5.0	39.0	661.0	157.0	79.0	0.0	49.0	17.0	0.0	0.0	0.0	4.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8743986	28.0	8209.0	1687.0	9021.0	179.0	269.0	839.0	7.0	6.0	2779.0	78.0	37.0	0.0	2.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8743989	0.0	6816.0	457.0	4782.0	210.0	159.0	361.0	5.0	5.0	2859.0	43.0	11.0	0.0	2.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744008	36.0	11087.0	3212.0	15510.0	435.0	526.0	3031.0	7.0	40.0	1167.0	103.0	59.0	0.0	0.0	21.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744009	11.0	11702.0	648.0	4799.0	219.0	333.0	696.0	15.0	47.0	6143.0	86.0	26.0	8.0	3.0	0.0	0.0	6.0	0.0	0.0	4.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744013	0.0	8188.0	801.0	5283.0	276.0	306.0	910.0	0.0	19.0	2377.0	88.0	0.0	0.0	0.0	2.0	6.0	0.0	0.0	0.0	0.0	0.0	354.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744022	0.0	6673.0	364.0	5996.0	186.0	145.0	562.0	3.0	12.0	3261.0	19.0	17.0	0.0	0.0	7.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744024	22.0	3403.0	1756.0	5061.0	181.0	383.0	1312.0	0.0	19.0	417.0	56.0	45.0	4.0	0.0	13.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744027	16.0	8466.0	1113.0	4055.0	264.0	85.0	385.0	6.0	0.0	6018.0	133.0	17.0	0.0	0.0	0.0	68.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744033	46.0	5341.0	2428.0	5103.0	244.0	887.0	1451.0	7.0	0.0	632.0	108.0	42.0	0.0	21.0	61.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744037	11.0	7103.0	458.0	2271.0	140.0	216.0	469.0	0.0	16.0	4335.0	17.0	4.0	5.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	127.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744038	6.0	4140.0	558.0	6039.0	100.0	67.0	281.0	0.0	2.0	1106.0	27.0	14.0	0.0	0.0	3.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744040	4.0	3434.0	1277.0	4211.0	227.0	469.0	1431.0	0.0	31.0	568.0	104.0	38.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744043	78.0	9650.0	2646.0	12903.0	700.0	1650.0	2421.0	14.0	114.0	2314.0	286.0	68.0	17.0	8.0	25.0	0.0	2.0	0.0	16.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744044	5.0	8633.0	2515.0	13415.0	654.0	2051.0	3068.0	24.0	71.0	990.0	242.0	67.0	12.0	7.0	52.0	0.0	0.0	9.0	2.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744047	11.0	5388.0	1580.0	8184.0	424.0	1154.0	1531.0	13.0	52.0	558.0	222.0	36.0	5.0	16.0	16.0	7.0	2.0	0.0	14.0	0.0	15.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0
SRR8744049	7.0	11994.0	2173.0	8107.0	381.0	406.0	795.0	28.0	17.0	3271.0	78.0	40.0	13.0	10.0	0.0	32.0	8.0	7.0	4.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744050	0.0	7262.0	229.0	6394.0	46.0	140.0	487.0	0.0	0.0	3816.0	31.0	23.0	3.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744052	0.0	4134.0	491.0	10440.0	64.0	31.0	392.0	0.0	0.0	476.0	18.0	7.0	0.0	0.0	7.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744053	8.0	9634.0	4338.0	15924.0	445.0	1335.0	2943.0	26.0	73.0	1363.0	214.0	120.0	12.0	9.0	53.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744054	12.0	5231.0	640.0	5354.0	157.0	393.0	719.0	9.0	4.0	2159.0	27.0	11.0	3.0	0.0	15.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744055	59.0	10961.0	534.0	4420.0	207.0	266.0	635.0	3.0	0.0	3668.0	86.0	26.0	2.0	2.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	108.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744056	0.0	4687.0	55.0	2450.0	0.0	45.0	132.0	0.0	0.0	3696.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744057	6.0	8296.0	2664.0	11681.0	732.0	1484.0	2498.0	16.0	67.0	541.0	198.0	53.0	4.0	36.0	27.0	0.0	0.0	0.0	14.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
