#SampleID	d__Bacteria;p__Bdellovibrionota	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Myxococcota	d__Bacteria;p__Gemmatimonadota	d__Bacteria;p__Firmicutes	d__Bacteria;p__Dependentiae	d__Bacteria;p__Nitrospirota	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Chloroflexi	d__Bacteria;p__Abditibacteriota	d__Bacteria;p__Planctomycetota	d__Bacteria;p__Elusimicrobiota	d__Bacteria;p__Armatimonadota	d__Bacteria;p__SAR324_clade(Marine_group_B)	d__Bacteria;p__Entotheonellaeota	d__Bacteria;p__Patescibacteria	d__Bacteria;p__Cyanobacteria	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__Fibrobacterota	d__Bacteria;p__MBNT15	d__Bacteria;p__NB1-j	d__Bacteria;p__FCPU426	d__Bacteria;p__Fusobacteriota	d__Bacteria;p__Latescibacterota	d__Bacteria;p__Campylobacterota	d__Bacteria;p__Dadabacteria	d__Bacteria;p__Spirochaetota
SRR8744192	144.0	18624.0	4946.0	26257.0	1412.0	3912.0	5703.0	19.0	286.0	1923.0	560.0	151.0	19.0	15.0	55.0	7.0	7.0	0.0	41.0	0.0	9.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744214	15.0	5640.0	819.0	3020.0	207.0	432.0	937.0	8.0	33.0	1046.0	111.0	34.0	0.0	18.0	11.0	0.0	0.0	0.0	4.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744215	0.0	7403.0	187.0	4806.0	130.0	116.0	381.0	3.0	0.0	4548.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744218	2.0	5818.0	383.0	5840.0	194.0	296.0	630.0	0.0	12.0	2326.0	39.0	18.0	7.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744219	21.0	28637.0	71.0	2020.0	468.0	35.0	249.0	0.0	0.0	2089.0	26.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	310.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744220	169.0	27318.0	11952.0	29410.0	1355.0	4363.0	6544.0	51.0	166.0	5188.0	590.0	155.0	30.0	65.0	214.0	79.0	0.0	0.0	66.0	5.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744221	21.0	7935.0	1767.0	9823.0	155.0	409.0	1138.0	4.0	10.0	1392.0	43.0	24.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744231	0.0	4497.0	1022.0	10111.0	63.0	114.0	795.0	0.0	15.0	516.0	7.0	15.0	0.0	0.0	9.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744235	0.0	4013.0	600.0	7826.0	31.0	61.0	400.0	0.0	0.0	904.0	19.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744237	8.0	7990.0	1635.0	12569.0	243.0	228.0	729.0	4.0	0.0	2356.0	25.0	42.0	0.0	0.0	30.0	0.0	0.0	0.0	9.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744238	132.0	16248.0	6981.0	18372.0	937.0	2006.0	4310.0	27.0	76.0	2329.0	314.0	124.0	15.0	46.0	58.0	41.0	0.0	0.0	16.0	0.0	0.0	11.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744239	105.0	11062.0	4194.0	10831.0	719.0	1104.0	2470.0	16.0	29.0	2417.0	221.0	39.0	0.0	42.0	6.0	19.0	0.0	0.0	44.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744241	15.0	12760.0	315.0	10255.0	284.0	306.0	565.0	2.0	2.0	6288.0	40.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744246	54.0	9942.0	3135.0	10083.0	386.0	1204.0	2547.0	23.0	48.0	1591.0	181.0	100.0	0.0	0.0	51.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744247	21.0	7735.0	3901.0	15552.0	347.0	1020.0	3064.0	10.0	37.0	508.0	94.0	75.0	3.0	0.0	34.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744248	32.0	9674.0	2484.0	7895.0	391.0	543.0	1325.0	13.0	16.0	3038.0	62.0	38.0	0.0	10.0	7.0	33.0	0.0	0.0	0.0	7.0	5.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744249	106.0	24847.0	2303.0	16842.0	627.0	1913.0	3609.0	18.0	134.0	703.0	168.0	48.0	14.0	2.0	26.0	0.0	0.0	8.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744251	10.0	4265.0	798.0	6643.0	47.0	119.0	305.0	0.0	0.0	499.0	14.0	16.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744252	2.0	6224.0	2665.0	10050.0	296.0	443.0	2381.0	4.0	33.0	679.0	167.0	53.0	7.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744253	3.0	4755.0	833.0	8653.0	53.0	102.0	959.0	0.0	0.0	420.0	7.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744254	126.0	14799.0	6165.0	20878.0	959.0	1445.0	3190.0	20.0	28.0	1801.0	333.0	96.0	6.0	70.0	43.0	37.0	9.0	3.0	30.0	2.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744255	46.0	11999.0	1190.0	10552.0	338.0	664.0	1545.0	11.0	23.0	4790.0	105.0	19.0	0.0	0.0	12.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744257	15.0	11949.0	3402.0	14699.0	1023.0	2524.0	3068.0	27.0	200.0	1434.0	351.0	52.0	3.0	33.0	47.0	3.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
SRR8744258	129.0	25049.0	11742.0	35319.0	1531.0	2814.0	7585.0	49.0	201.0	3128.0	545.0	267.0	13.0	6.0	148.0	47.0	0.0	5.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744260	38.0	7448.0	3756.0	6080.0	486.0	1126.0	2059.0	14.0	15.0	889.0	275.0	45.0	0.0	83.0	53.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744263	27.0	4841.0	1250.0	6702.0	311.0	959.0	1529.0	0.0	6.0	384.0	104.0	26.0	9.0	9.0	14.0	0.0	0.0	0.0	10.0	4.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744264	45.0	2945.0	942.0	4118.0	303.0	781.0	1220.0	9.0	54.0	297.0	24.0	26.0	6.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744265	54.0	12180.0	3538.0	15270.0	1034.0	3225.0	2972.0	20.0	180.0	1469.0	400.0	130.0	16.0	96.0	0.0	15.0	3.0	0.0	39.0	4.0	10.0	0.0	0.0	11.0	5.0	0.0	0.0	0.0	0.0	0.0
SRR8744269	0.0	4608.0	326.0	7932.0	31.0	56.0	259.0	0.0	0.0	909.0	9.0	33.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744270	4.0	7567.0	1631.0	5410.0	203.0	301.0	865.0	5.0	8.0	2796.0	89.0	41.0	0.0	0.0	0.0	46.0	0.0	0.0	4.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744271	4.0	7792.0	30.0	5138.0	45.0	65.0	91.0	0.0	0.0	7995.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744283	8.0	14542.0	2371.0	8852.0	773.0	291.0	821.0	8.0	9.0	6697.0	160.0	27.0	0.0	4.0	0.0	98.0	0.0	0.0	13.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744286	5.0	7723.0	2463.0	10013.0	491.0	1407.0	2411.0	11.0	67.0	542.0	218.0	30.0	6.0	46.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744287	4.0	5257.0	1170.0	8973.0	269.0	1179.0	1657.0	15.0	37.0	620.0	209.0	22.0	7.0	2.0	23.0	0.0	0.0	12.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744296	0.0	9732.0	455.0	3496.0	172.0	37.0	242.0	0.0	0.0	8623.0	37.0	9.0	0.0	0.0	4.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744312	12.0	4110.0	1067.0	4553.0	299.0	928.0	1085.0	21.0	38.0	443.0	115.0	30.0	13.0	42.0	21.0	6.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	6.0	2.0	0.0	2.0	0.0	0.0	0.0
SRR8744313	0.0	2524.0	1079.0	8068.0	155.0	241.0	1264.0	0.0	0.0	145.0	0.0	35.0	0.0	0.0	10.0	9.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744327	0.0	7633.0	770.0	6088.0	164.0	488.0	1044.0	4.0	28.0	2906.0	43.0	8.0	4.0	3.0	20.0	0.0	5.0	0.0	2.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744330	30.0	7941.0	2468.0	11256.0	603.0	1721.0	2298.0	6.0	49.0	586.0	244.0	55.0	3.0	20.0	12.0	0.0	4.0	16.0	24.0	6.0	0.0	27.0	0.0	8.0	4.0	0.0	0.0	0.0	0.0	0.0
SRR8744333	0.0	7327.0	127.0	4515.0	102.0	45.0	152.0	0.0	0.0	4774.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744336	2.0	11062.0	5415.0	15813.0	611.0	1757.0	3727.0	34.0	78.0	1096.0	364.0	76.0	7.0	19.0	49.0	26.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744345	0.0	14924.0	4124.0	21499.0	668.0	1528.0	2773.0	16.0	72.0	3696.0	159.0	75.0	5.0	0.0	35.0	15.0	0.0	4.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744347	17.0	9502.0	1158.0	4427.0	525.0	390.0	1412.0	12.0	14.0	2323.0	188.0	66.0	5.0	0.0	11.0	0.0	0.0	8.0	12.0	6.0	0.0	146.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	12.0
SRR8744348	79.0	6905.0	2354.0	11772.0	586.0	1562.0	2885.0	5.0	61.0	520.0	238.0	38.0	13.0	2.0	11.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744349	0.0	6507.0	1735.0	8679.0	539.0	1236.0	1780.0	10.0	0.0	598.0	152.0	27.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
SRR8744350	29.0	4010.0	1866.0	7176.0	170.0	538.0	1875.0	10.0	6.0	343.0	28.0	45.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744351	60.0	17445.0	7996.0	18988.0	1095.0	2965.0	4722.0	46.0	142.0	2653.0	452.0	166.0	23.0	42.0	102.0	35.0	0.0	11.0	35.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744355	161.0	19354.0	9345.0	18682.0	1375.0	3258.0	4856.0	45.0	139.0	3015.0	626.0	165.0	19.0	104.0	129.0	19.0	3.0	0.0	31.0	8.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744356	6.0	3948.0	1093.0	5772.0	250.0	670.0	1506.0	4.0	30.0	429.0	148.0	37.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744357	3.0	12174.0	3595.0	14662.0	912.0	2921.0	3727.0	19.0	249.0	1858.0	514.0	102.0	30.0	10.0	74.0	0.0	23.0	21.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744358	163.0	13944.0	3922.0	15898.0	1180.0	3501.0	3776.0	29.0	199.0	1335.0	346.0	66.0	8.0	63.0	29.0	12.0	0.0	16.0	22.0	0.0	0.0	35.0	0.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0
SRR8744359	80.0	12485.0	3388.0	12964.0	820.0	1592.0	2710.0	24.0	87.0	1197.0	337.0	156.0	14.0	35.0	70.0	20.0	0.0	0.0	24.0	0.0	8.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744362	32.0	7224.0	2159.0	5225.0	183.0	390.0	1222.0	13.0	12.0	1742.0	72.0	68.0	0.0	5.0	6.0	8.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744364	57.0	9082.0	3207.0	14760.0	510.0	1236.0	3119.0	12.0	38.0	1102.0	212.0	76.0	4.0	0.0	50.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744365	7.0	7257.0	3074.0	12271.0	353.0	468.0	2422.0	21.0	36.0	926.0	86.0	46.0	0.0	6.0	0.0	13.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744366	0.0	5725.0	104.0	4257.0	33.0	46.0	215.0	0.0	0.0	4292.0	8.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744367	50.0	7879.0	4086.0	12979.0	451.0	848.0	2955.0	5.0	59.0	813.0	138.0	34.0	10.0	0.0	38.0	29.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744368	31.0	8354.0	368.0	3243.0	127.0	169.0	508.0	0.0	0.0	3191.0	56.0	8.0	0.0	0.0	0.0	0.0	7.0	0.0	5.0	0.0	0.0	62.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744370	3.0	9198.0	671.0	5258.0	121.0	93.0	376.0	4.0	7.0	2596.0	23.0	20.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744381	6.0	6227.0	520.0	4372.0	242.0	296.0	424.0	2.0	22.0	1595.0	53.0	27.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
SRR8744385	110.0	10536.0	3927.0	8938.0	879.0	2544.0	3826.0	31.0	125.0	1279.0	628.0	67.0	9.0	81.0	0.0	0.0	2.0	0.0	2.0	0.0	17.0	9.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
