#SampleID	StudyID	StudyName	Treatment	Host	HostSpecific	RootCompartment	Inoculum	Primers
SRR8743527	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743528	azarbad2020four	Azarbad et al. (2020)	Control	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743529	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743532	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743533	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743534	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743537	azarbad2020four	Azarbad et al. (2020)	Control	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743539	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743540	azarbad2020four	Azarbad et al. (2020)	Control	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743541	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743544	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743545	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743546	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743547	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743568	azarbad2020four	Azarbad et al. (2020)	Control	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743577	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743580	azarbad2020four	Azarbad et al. (2020)	Control	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743590	azarbad2020four	Azarbad et al. (2020)	Control	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743593	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743594	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743595	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743607	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743608	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743609	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743610	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743625	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743626	azarbad2020four	Azarbad et al. (2020)	Control	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743627	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743630	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
